"key","datasetKey","decimalLongitude","decimalLatitude","stateProvince","year","month","day","country","catalogNumber","recordedBy","institutionCode","collectionCode","locality","notes","citation","doi"
234014030,"905daf20-04fd-11df-8c28-b8a03c50a862",16.246428,57.469573,NA,1935,2,14,"Sweden","40494","Erik Evers","UME","General","Bergsmåla","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Telenius A, Stenman K (2017). Herbarium of Umeå University (UME). GBIF-Sweden. Occurrence dataset https://doi.org/10.15468/gatdg4 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/gatdg4"
152959784,"89579e3e-f762-11e1-a439-00145eb45e9a",14.078647,46.299642,NA,1935,4,2,"Slovenia","F774564","Dolšak F.","ULBF-AGR","FloVegSI-FLO",NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Scientific Research Centre of the Slovenian Academy of Sciences and Arts, Institute of Biology. FloVegSI - Floristical and fitocenological database of ZRC SAZU. Occurrence dataset https://doi.org/10.15468/v3vxya accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/v3vxya"
234014142,"905daf20-04fd-11df-8c28-b8a03c50a862",18.14644,57.49272,NA,1935,7,15,"Sweden","43343","Bengt Pettersson","UME","General","Krokstäde","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Telenius A, Stenman K (2017). Herbarium of Umeå University (UME). GBIF-Sweden. Occurrence dataset https://doi.org/10.15468/gatdg4 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/gatdg4"
919150886,"7948250c-6958-4a29-a670-ed1015b26252",10.572,59.6892,"Akershus",1934,8,17,"Norway","12203","P. Størmer","O","L","Håøya: Brudeviken","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
919157608,"7948250c-6958-4a29-a670-ed1015b26252",10.572,59.6892,"Akershus",1934,8,17,"Norway","22858",NA,"O","L","Håøya, på østsiden av stien øverst i Brudeviken, ved Taxus-kjempen (ved midten av 6. takseringslinje)","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
919157631,"7948250c-6958-4a29-a670-ed1015b26252",10.5751,59.6982,"Akershus",1934,8,17,"Norway","22861","P. Størmer","O","L","Håøya","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
919157632,"7948250c-6958-4a29-a670-ed1015b26252",10.572,59.6892,"Akershus",1934,8,17,"Norway","22859",NA,"O","L","Håøya, på østsiden av stien øverst i Brudeviken, ved Taxus-kjempen (ved midten av 6. takseringslinje)","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
919157656,"7948250c-6958-4a29-a670-ed1015b26252",10.5751,59.6982,"Akershus",1934,8,17,"Norway","22860","P. Størmer","O","L","Håøya","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
919157692,"7948250c-6958-4a29-a670-ed1015b26252",10.572,59.6892,"Akershus",1934,8,17,"Norway","22855","P. Størmer","O","L","Håøya: Brudeviken","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
919157717,"7948250c-6958-4a29-a670-ed1015b26252",10.572,59.6892,"Akershus",1934,8,17,"Norway","22856","P. Størmer","O","L","Håøya: Brudeviken","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
1085542,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",16.20842,57.40638,"Småland",1934,11,24,"Sweden","1055921","Erik Evers","LD","General","No locality information available","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Wittzell H, Shah M (2020). Lund Botanical Museum (LD). Lund Botanical Museum (LD). Occurrence dataset https://doi.org/10.15468/c4w4co accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/c4w4co"
1087043,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",16.201231,57.399864,NA,1934,11,NA,"Sweden","1028338","Erik Evers","LD","General","No locality information available","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Wittzell H, Shah M (2020). Lund Botanical Museum (LD). Lund Botanical Museum (LD). Occurrence dataset https://doi.org/10.15468/c4w4co accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/c4w4co"
1085522,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",14.81922,56.88377,"Småland",1931,7,18,"Sweden","1055025","Gösta R. Cedergren","LD","General","No locality information available","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Wittzell H, Shah M (2020). Lund Botanical Museum (LD). Lund Botanical Museum (LD). Occurrence dataset https://doi.org/10.15468/c4w4co accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/c4w4co"
1085529,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",14.81922,56.88377,"Småland",1930,5,11,"Sweden","1055281","Gösta R. Cedergren","LD","General","No locality information available","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Wittzell H, Shah M (2020). Lund Botanical Museum (LD). Lund Botanical Museum (LD). Occurrence dataset https://doi.org/10.15468/c4w4co accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/c4w4co"
