"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","locality","catalogNumber","recordedBy","institutionCode","collectionCode","stateProvince","notes","citation","doi"
1148669567,"8f7e3c45-4d76-4982-9478-651439e0cd4b",27.2,59.43333,2002,9,6,"Estonia","Ontika MKA, Saka","TU28210","Inga Jüriado","TU(M)",NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","University of Tartu N H M, Abarenkov K. Natural History Museum, University of Tartu. PlutoF. Occurrence dataset https://doi.org/10.15156/bio/587444 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15156/bio/587444"
1148669587,"8f7e3c45-4d76-4982-9478-651439e0cd4b",27.31667,59.43333,2002,9,7,"Estonia","Ontika MKA, Ontika","TU28209","Inga Jüriado","TU(M)",NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","University of Tartu N H M, Abarenkov K. Natural History Museum, University of Tartu. PlutoF. Occurrence dataset https://doi.org/10.15156/bio/587444 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15156/bio/587444"
1148669624,"8f7e3c45-4d76-4982-9478-651439e0cd4b",27.2,59.43333,2002,9,6,"Estonia","Ontika MKA, Saka","TU28213","Inga Jüriado","TU(M)",NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","University of Tartu N H M, Abarenkov K. Natural History Museum, University of Tartu. PlutoF. Occurrence dataset https://doi.org/10.15156/bio/587444 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15156/bio/587444"
125713281,"84cdd6d0-f762-11e1-a439-00145eb45e9a",8,56,2002,10,21,"Denmark","NWJ: Salling, Kås, Bringsbjerg Krat","17077","René S. Larsen","C","L","Northern Jutland","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Calabuig I (2014). Botanical Museum, Copenhagen, the Lichen Herbarium. Botanical Garden & Museum, Natural History Museum of Denmark. Occurrence dataset https://doi.org/10.15468/itaoh5 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/itaoh5"
328125476,"890afcd2-f762-11e1-a439-00145eb45e9a",-6.686,43.036999,2000,10,18,"Spain","Cangas del Narcea. Bosque mixto mesótrofo con fresno y plágano camino de Fuenculebrera. Monte Muniellos.","21353-1","S. Pérez-Ortega & S. Fos","VAL","VAL_Lich","O","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Atienza V (2019). Universitat de València, Colecciones de Criptógamas: VAL_Lich. Department of Botany, Faculty of Biological Sciences, University of Valencia. Occurrence dataset https://doi.org/10.15468/okajpo accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/okajpo"
1148669569,"8f7e3c45-4d76-4982-9478-651439e0cd4b",24.15,58.31667,1999,9,18,"Estonia","Audru mtsk. Kv. 220, er. 5.","TU28207","Ilmar Süda","TU(M)",NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","University of Tartu N H M, Abarenkov K. Natural History Museum, University of Tartu. PlutoF. Occurrence dataset https://doi.org/10.15156/bio/587444 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15156/bio/587444"
152940217,"89579e3e-f762-11e1-a439-00145eb45e9a",15.411784,46.499674,1998,12,13,"Slovenia",NA,"F776127","Batič F.","ULBF-AGR","FloVegSI-FLO",NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Scientific Research Centre of the Slovenian Academy of Sciences and Arts, Institute of Biology. FloVegSI - Floristical and fitocenological database of ZRC SAZU. Occurrence dataset https://doi.org/10.15468/v3vxya accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/v3vxya"
1148669183,"8f7e3c45-4d76-4982-9478-651439e0cd4b",23.55,58.55,1989,7,11,"Estonia","Puhtu, Puhtu ornitoloogiajaam","TU7705","Rikard Sundin","TU(M)",NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","University of Tartu N H M, Abarenkov K. Natural History Museum, University of Tartu. PlutoF. Occurrence dataset https://doi.org/10.15156/bio/587444 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15156/bio/587444"
1826811363,"7f2889e6-f762-11e1-a439-00145eb45e9a",2.94,41.78,1984,3,15,"Spain","Cala Bona","10534","Antonio Gómez-Bolea & Montserrat Boqueras","BCN","Lich","Girona","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Guardia R (2019). CeDoc de Biodiversitat Vegetal: BCN-Lich. CeDoc of Plant Biodiversity (CeDocBIV), Univ. Barcelona. Occurrence dataset https://doi.org/10.15468/mpc1pf accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/mpc1pf"
1826811290,"7f2889e6-f762-11e1-a439-00145eb45e9a",2.94,41.78,1984,6,23,"Spain","Cala Bona","10567","Antonio Gómez-Bolea & Montserrat Boqueras","BCN","Lich","Girona","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Guardia R (2019). CeDoc de Biodiversitat Vegetal: BCN-Lich. CeDoc of Plant Biodiversity (CeDocBIV), Univ. Barcelona. Occurrence dataset https://doi.org/10.15468/mpc1pf accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/mpc1pf"
1826811342,"7f2889e6-f762-11e1-a439-00145eb45e9a",2.94,41.78,1981,10,30,"Spain","Cala Bona","10530","Antonio Gómez-Bolea & Montserrat Boqueras","BCN","Lich","Girona","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Guardia R (2019). CeDoc de Biodiversitat Vegetal: BCN-Lich. CeDoc of Plant Biodiversity (CeDocBIV), Univ. Barcelona. Occurrence dataset https://doi.org/10.15468/mpc1pf accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/mpc1pf"
1057242381,"7e380070-f762-11e1-a439-00145eb45e9a",-4.537906,54.227621,1958,3,22,"Isle of Man",NA,"BM000732496","Peter Wilfrid James","NHMUK","BOT","England","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum (2020). Natural History Museum (London) Collection Specimens. Occurrence dataset https://doi.org/10.5519/0002965 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.5519/0002965"
2449357305,"85739778-f762-11e1-a439-00145eb45e9a",13.1167,54.5833,1929,5,24,"Germany","DEUTSCHLAND, Mecklenburg-Vorpommern: Insel Hiddensee bei Rügen, Kloster.","117698","V. J. Grummann","B","Lichen Herbarium Berlin",NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Botanic Garden and Botanical Museum Berlin (2016). Lichens at Herbarium Berolinense, Berlin (B). Occurrence dataset https://doi.org/10.15468/gmyyyu accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/gmyyyu"
