"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","catalogNumber","institutionCode","locality","collectionCode","recordedBy","stateProvince","notes","citation","doi"
2425458783,"7f2889e6-f762-11e1-a439-00145eb45e9a",-6.85,41.76,2006,9,6,"Portugal","15371","BCN","Bragança","Lich","Esteve Llop & Gemma Figueras","sense provincia","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Guardia R (2019). CeDoc de Biodiversitat Vegetal: BCN-Lich. CeDoc of Plant Biodiversity (CeDocBIV), Univ. Barcelona. Occurrence dataset https://doi.org/10.15468/mpc1pf accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/mpc1pf"
1833733401,"828a3d8c-f762-11e1-a439-00145eb45e9a",2.641333,41.857778,2000,9,8,"Spain","263566","FR","Sierra de Baxisot. Prov. Girona. Sta. Coloma de Farners, plateau east of the Castillo de Farners to the southwest","Herbarium Senckenbergianum (FR) - Fungi",NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
2449350583,"85739778-f762-11e1-a439-00145eb45e9a",25.1917,37.0333,1998,6,13,"Greece","55055","B","GREECE, Cyclades Archipelago, Paros. Mt. Agioi Pantes, highest point of island. Alt. 700 m.","Lichen Herbarium Berlin","H. Sipman & T. Raus",NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Botanic Garden and Botanical Museum Berlin (2016). Lichens at Herbarium Berolinense, Berlin (B). Occurrence dataset https://doi.org/10.15468/gmyyyu accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/gmyyyu"
1212231109,"85739778-f762-11e1-a439-00145eb45e9a",8.8833,39.1333,1997,4,16,"Italy","52046","B","ITALY, Sardinia, prov. Cagliari. Along road Santadi-S. Lucia, beyond pass (com. Assemini). Sheet F565 sez. I. Alt. 275 m.","Lichen Herbarium Berlin","H. Sipman & L. Zedda",NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Botanic Garden and Botanical Museum Berlin (2016). Lichens at Herbarium Berolinense, Berlin (B). Occurrence dataset https://doi.org/10.15468/gmyyyu accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/gmyyyu"
178318624,"890afcd2-f762-11e1-a439-00145eb45e9a",-6.674,37.172001,1995,4,21,"Spain","4671-1","VAL","Almonte. Cerro Burraco. Entre Los Bodegones y Los Cabezudos","VAL_Lich","S. Fos","H","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Atienza V (2019). Universitat de València, Colecciones de Criptógamas: VAL_Lich. Department of Botany, Faculty of Biological Sciences, University of Valencia. Occurrence dataset https://doi.org/10.15468/okajpo accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/okajpo"
29539500,"83492a58-f762-11e1-a439-00145eb45e9a",-1,43,1994,1,4,"Spain","5341-1","MA","Oronoz-Mugaire, Parque natural de Bértiz, subiendo a Aitzcolegi","MA-Lichen","J. Etayo","Na","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Margarita M (2018). CSIC-Real Jardín Botánico-Colección de Líquenes (MA-Lichen). CSIC-Real Jardín Botánico. Occurrence dataset https://doi.org/10.15468/z7wqal accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/z7wqal"
178318975,"890afcd2-f762-11e1-a439-00145eb45e9a",3.223,41.960999,1994,2,24,"Spain","9034-1","VAL","Begur. Sa Tuna","VAL_Lich","S. Fos","Ge","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Atienza V (2019). Universitat de València, Colecciones de Criptógamas: VAL_Lich. Department of Botany, Faculty of Biological Sciences, University of Valencia. Occurrence dataset https://doi.org/10.15468/okajpo accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/okajpo"
178318989,"890afcd2-f762-11e1-a439-00145eb45e9a",3.223,41.970001,1994,2,24,"Spain","9072-1","VAL","Begur. Puig Malaret","VAL_Lich","S. Fos","Ge","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Atienza V (2019). Universitat de València, Colecciones de Criptógamas: VAL_Lich. Department of Botany, Faculty of Biological Sciences, University of Valencia. Occurrence dataset https://doi.org/10.15468/okajpo accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/okajpo"
29539574,"83492a58-f762-11e1-a439-00145eb45e9a",-5,36,1994,4,17,"Spain","5749-1","MA","Jerez de la Frontera, Mojón de la Víbora, carretera C3331 km 33. Teucrio baetici-Querceto rotundifoliae sigm","MA-Lichen","J. Etayo, M. Casares, A. Gómez-Bolea & al.","Ca","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Margarita M (2018). CSIC-Real Jardín Botánico-Colección de Líquenes (MA-Lichen). CSIC-Real Jardín Botánico. Occurrence dataset https://doi.org/10.15468/z7wqal accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/z7wqal"
178318887,"890afcd2-f762-11e1-a439-00145eb45e9a",-5.421,36.612,1993,6,28,"Spain","8337-1","VAL","Cortes de la Frontera. Sierra de los Pinos. Cerro del Alcornocal","VAL_Lich","E. Calvo","Ma","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Atienza V (2019). Universitat de València, Colecciones de Criptógamas: VAL_Lich. Department of Botany, Faculty of Biological Sciences, University of Valencia. Occurrence dataset https://doi.org/10.15468/okajpo accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/okajpo"
