"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","catalogNumber","institutionCode","locality","collectionCode","stateProvince","recordedBy","notes","citation","doi"
29522013,"83492a58-f762-11e1-a439-00145eb45e9a",-1,43,1994,1,4,"Spain","5340-1","MA","Oronoz-Mugaire, Parque natural de Bértiz, subiendo a Aitzcolegi","MA-Lichen","Na","J. Etayo","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Margarita M (2018). CSIC-Real Jardín Botánico-Colección de Líquenes (MA-Lichen). CSIC-Real Jardín Botánico. Occurrence dataset https://doi.org/10.15468/z7wqal accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/z7wqal"
19998620,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",5.29736,60.45932,1992,8,23,"Norway","25552","BG","Tertnes","L","Hordaland","Tønsberg, T.","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","University of Bergen: University Museum (2020). Lichen herbarium, UiB. Version 1.926. Occurrence dataset https://doi.org/10.15468/gpfklm accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/gpfklm"
19998499,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",6.32062,60.62756,1991,9,22,"Norway","22854","BG","N bank of Vangsvatnet, along river Dyrvo","L","Hordaland","Tønsberg, T.","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","University of Bergen: University Museum (2020). Lichen herbarium, UiB. Version 1.926. Occurrence dataset https://doi.org/10.15468/gpfklm accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/gpfklm"
2028382192,"ee4d0706-38af-4bc4-8539-e17c0ca8512e",6.32012834024571,60.6278742876785,1991,9,22,"Norway","294506","DUKE","Voss, N bank of Lake Vangsvatnet, along river Dyrvo",NA,"Hordaland","Tønsberg, Tor","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Duke University Herbarium (2020). Duke University Herbarium Lichen Collection. Occurrence dataset https://doi.org/10.15468/mwbxa9 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/mwbxa9"
19998488,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",5.29736,60.45932,1990,8,22,"Norway","22851","BG","Åsane, Tertnes","L","Hordaland","Tønsberg, T.","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","University of Bergen: University Museum (2020). Lichen herbarium, UiB. Version 1.926. Occurrence dataset https://doi.org/10.15468/gpfklm accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/gpfklm"
19998493,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",5.26897,60.07202,1990,9,8,"Norway","22852","BG","Huftarøy, Haukanes","L","Hordaland","Tønsberg, T.","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","University of Bergen: University Museum (2020). Lichen herbarium, UiB. Version 1.926. Occurrence dataset https://doi.org/10.15468/gpfklm accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/gpfklm"
19998496,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",5.29736,60.45932,1990,11,10,"Norway","22853","BG","Åsane, Tertnes","L","Hordaland","Tønsberg, T.","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","University of Bergen: University Museum (2020). Lichen herbarium, UiB. Version 1.926. Occurrence dataset https://doi.org/10.15468/gpfklm accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/gpfklm"
19997882,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",7.22109,60.89177,1988,6,29,"Norway","13540","BG","Tokkvam","L","Sogn og fjordane","Odland, A.","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","University of Bergen: University Museum (2020). Lichen herbarium, UiB. Version 1.926. Occurrence dataset https://doi.org/10.15468/gpfklm accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/gpfklm"
1057456140,"7e380070-f762-11e1-a439-00145eb45e9a",-4.640454,56.066192,1980,9,5,"United Kingdom","BM000501121","NHMUK",NA,"BOT","Scotland","Brian J. Coppins","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum (2020). Natural History Museum (London) Collection Specimens. Occurrence dataset https://doi.org/10.5519/0002965 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.5519/0002965"
1099008134,"7ba21c92-f762-11e1-a439-00145eb45e9a",-4.6266,56.08606,1980,9,5,"United Kingdom","M-0024191 / 551506 / 230757","SNSB-M","U.K., Dunbarton (VC99), Loch Lomond NNR, Shore Wood.","BSMlichenscoll",NA,"Coppins, B.J. (no. 8212)","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Staatliche Naturwissenschaftliche Sammlungen Bayerns. The Lichen Collection at the Botanische Staatssammlung München. Occurrence dataset https://doi.org/10.15468/lqetda accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/lqetda"
