"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","locality","catalogNumber","recordedBy","institutionCode","stateProvince","collectionCode","notes","citation","doi"
2467684213,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",5.0824,61.4897,2018,5,16,"Norway","Vågsfjellet nord, Svanøya","28957/1","Andreas Frisch","TRH","Sogn og Fjordane","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","NTNU University Museum (2020). Lichen herbarium TRH, NTNU University Museum. Version 10.1219. Occurrence dataset https://doi.org/10.15468/pbejbi accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/pbejbi"
2464528309,"8f7e3c45-4d76-4982-9478-651439e0cd4b",22.14383,57.19291,2018,7,9,"Latvia","Nature Reserve ""Moricsala"" (Moricsalas dabas reservats)","TU52343","Polina Degtjarenko","TU(M)",NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","University of Tartu N H M, Abarenkov K. Natural History Museum, University of Tartu. PlutoF. Occurrence dataset https://doi.org/10.15156/bio/587444 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15156/bio/587444"
2464496671,"8f7e3c45-4d76-4982-9478-651439e0cd4b",24.79311,58.14528,2017,3,27,"Estonia","Lodja","TU83748","Tiina Randlane","TU(M)",NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","University of Tartu N H M, Abarenkov K. Natural History Museum, University of Tartu. PlutoF. Occurrence dataset https://doi.org/10.15156/bio/587444 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15156/bio/587444"
1824996192,"b124e1e0-4755-430f-9eab-894f25a9b59c",9.844485,59.070711,2017,6,5,"Norway","Vestmunntjerna S, Larvik, Ve","18365817","Jon Klepsland","nbf","Vestfold","so2-lichens","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","The Norwegian Biodiversity Information Centre ., Hoem S (2020). Norwegian Species Observation Service. Version 1.107. The Norwegian Biodiversity Information Centre (NBIC). Occurrence dataset https://doi.org/10.15468/zjbzel accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/zjbzel"
2013152317,"7948250c-6958-4a29-a670-ed1015b26252",9.8445,59.0707,2017,6,5,"Norway","Vestmunntjerna S","223207","Jon T. Klepsland","O","Vestfold","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
1837799409,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",5.4428,59.7806,2017,7,16,"Norway","Storavatnet øst","37304/1","Andreas Frisch","TRH","Hordaland","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","NTNU University Museum (2020). Lichen herbarium TRH, NTNU University Museum. Version 10.1219. Occurrence dataset https://doi.org/10.15468/pbejbi accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/pbejbi"
1837799433,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",6.0936,59.0756,2017,7,17,"Norway","Tysdalsvatnet: Strandabrynane aust","3729/1","Andreas Frisch","TRH","Rogaland","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","NTNU University Museum (2020). Lichen herbarium TRH, NTNU University Museum. Version 10.1219. Occurrence dataset https://doi.org/10.15468/pbejbi accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/pbejbi"
1837799444,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",6.0936,59.0756,2017,7,17,"Norway","Tysdalsvatnet: Strandabrynane aust","3730/1","Andreas Frisch","TRH","Rogaland","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","NTNU University Museum (2020). Lichen herbarium TRH, NTNU University Museum. Version 10.1219. Occurrence dataset https://doi.org/10.15468/pbejbi accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/pbejbi"
1837799510,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",7.2707,62.9145,2017,7,5,"Norway","Tverrfjell nord for Stormyra","36966/1","Andreas Frisch","TRH","Møre og Romsdal","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","NTNU University Museum (2020). Lichen herbarium TRH, NTNU University Museum. Version 10.1219. Occurrence dataset https://doi.org/10.15468/pbejbi accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/pbejbi"
1837799523,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",7.2707,62.9145,2017,7,5,"Norway","Tverrfjell nord for Stormyra","3740/1","Andreas Frisch","TRH","Møre og Romsdal","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","NTNU University Museum (2020). Lichen herbarium TRH, NTNU University Museum. Version 10.1219. Occurrence dataset https://doi.org/10.15468/pbejbi accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/pbejbi"
