"key","datasetKey","decimalLongitude","decimalLatitude","stateProvince","year","month","day","country","locality","collectionCode","catalogNumber","recordedBy","institutionCode","notes","citation","doi"
1143572914,"bf2a4bf0-5f31-11de-b67e-b8a03c50a862",-5.504167,57.6625,"Scotland",2007,11,2,"United Kingdom","Talladale, Loch Maree","E","E00745082","Sutcliffe, Mike","E","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Rob Cubey (2018). Royal Botanic Garden Edinburgh Herbarium (E). Royal Botanic Garden Edinburgh. Occurrence dataset https://doi.org/10.15468/ypoair accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ypoair"
328122634,"890afcd2-f762-11e1-a439-00145eb45e9a",-6.651,42.991001,"O",2001,9,11,"Spain","Cangas del Narcea. Rebollar en el camino de La Viliella a la Vega de La Rondiella. Monte La Viliella.","VAL_Lich","21492-1","S. Pérez-Ortega, J. A. F. Prieto, S. Fos & E. Barreno","VAL","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Atienza V (2019). Universitat de València, Colecciones de Criptógamas: VAL_Lich. Department of Botany, Faculty of Biological Sciences, University of Valencia. Occurrence dataset https://doi.org/10.15468/okajpo accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/okajpo"
328122635,"890afcd2-f762-11e1-a439-00145eb45e9a",-6.651,42.991001,"O",2001,9,11,"Spain","Cangas del Narcea. Rebollar en el camino de La Viliella a la Vega de La Rondiella. Monte La Viliella.","VAL_Lich","21494-1","S. Pérez-Ortega, J. A. F. Prieto, S. Fos & E. Barreno","VAL","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Atienza V (2019). Universitat de València, Colecciones de Criptógamas: VAL_Lich. Department of Botany, Faculty of Biological Sciences, University of Valencia. Occurrence dataset https://doi.org/10.15468/okajpo accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/okajpo"
1212064628,"85739778-f762-11e1-a439-00145eb45e9a",-6.7233,42.0867,NA,2000,8,31,"Spain","SPAIN, Prov. Zamora. Parque Natural del Lago de Sanabria y Alrededores, Sotillo de Sanabria, along track to Cascada de Sotillo; alt. c. 1000 m.","Lichen Herbarium Berlin","58297","H. Sipman","B","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Botanic Garden and Botanical Museum Berlin (2016). Lichens at Herbarium Berolinense, Berlin (B). Occurrence dataset https://doi.org/10.15468/gmyyyu accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/gmyyyu"
2243046064,"828a3d8c-f762-11e1-a439-00145eb45e9a",23.493333,41.625,NA,2000,9,11,"Bulgaria","Weg von der Hütte Pirin in Richtung Roenski manastir (Kloster Roschen)","Herbarium Senckenbergianum (FR) - Fungi","56124-862",NA,"FR","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
328122652,"890afcd2-f762-11e1-a439-00145eb45e9a",-6.686,43.036999,"O",2000,10,19,"Spain","Cangas del Narcea. Fresneda ribereña con plágano atravesada por el río Tablizas. Monte Muniellos.","VAL_Lich","22285-1","S. Pérez-Ortega & S. Fos","VAL","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Atienza V (2019). Universitat de València, Colecciones de Criptógamas: VAL_Lich. Department of Botany, Faculty of Biological Sciences, University of Valencia. Occurrence dataset https://doi.org/10.15468/okajpo accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/okajpo"
31297314,"835f8992-f762-11e1-a439-00145eb45e9a",-2.87,37.970001,"J",1998,1,9,"Spain","La Iruela, Sierra del Pozo, arroyo de las Truchas","MAF-Lich","8440-1","G. Aragón & I. Martínez","MAF","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Pizarro Domínguez J M (2020). Herbario, Departamento de Farmacología, Farmacognosia & Botánica, Facultad de Farmacia, Universidad Complutense, Madrid: MAF-Lich. Departamento de Farmacología, Farmacognosia & Botánica, Fac. de Farmacia, Univ. Complutense de Madrid. Occurrence dataset https://doi.org/10.15468/yvj3hr accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/yvj3hr"
29516745,"83492a58-f762-11e1-a439-00145eb45e9a",-1,40,"Cu",1998,5,3,"Spain","Huerta del Marquesado, Barranco de la Canaleja","MA-Lichen","10297-1","G. Aragón & I. Martínez","MA","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Margarita M (2018). CSIC-Real Jardín Botánico-Colección de Líquenes (MA-Lichen). CSIC-Real Jardín Botánico. Occurrence dataset https://doi.org/10.15468/z7wqal accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/z7wqal"
29516750,"83492a58-f762-11e1-a439-00145eb45e9a",-1,40,"Cu",1998,5,3,"Spain","Campillos-Sierra, Serranía de Cuenca, Valdeliebres","MA-Lichen","10313-1","G. Aragón & I. Martínez","MA","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Margarita M (2018). CSIC-Real Jardín Botánico-Colección de Líquenes (MA-Lichen). CSIC-Real Jardín Botánico. Occurrence dataset https://doi.org/10.15468/z7wqal accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/z7wqal"
1851697963,"2a89fac8-e079-419e-8883-70a4cd9c25e1",-6.745,42.093,"Zamora",1998,9,8,"Spain","Sotillo de Sanabria-Arroyo de las Truchas","LICHEN","4442-1","A.Terrón","LEB","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","de Paz Canuria E (2018). Colección de líquenes del Herbario ""Jaime Andrés Rodríguez"". LEB-Lichen. Version 1.5. Herbarium LEB Jaime Andrés Rodríguez. Facultad de Ciencias Biológicas y Ambientales. Universidad de León.. Occurrence dataset https://doi.org/10.15468/waz5x0 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/waz5x0"
