"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","catalogNumber","recordedBy","institutionCode","locality","collectionCode","stateProvince","notes","citation","doi"
2013152357,"7948250c-6958-4a29-a670-ed1015b26252",10.2306,59.2369,2017,6,21,"Norway","223241","Jon T. Klepsland","O","Omdal","L","Vestfold","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
2013152396,"7948250c-6958-4a29-a670-ed1015b26252",9.9679,59.0525,2017,6,6,"Norway","223217","Jon T. Klepsland","O","Ulfsbakktjørn N","L","Vestfold","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
2013152403,"7948250c-6958-4a29-a670-ed1015b26252",9.9607,59.0463,2017,6,6,"Norway","223227","Jon T. Klepsland","O","Bakkanetjørna V","L","Vestfold","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
2013152408,"7948250c-6958-4a29-a670-ed1015b26252",10.1513,59.1776,2017,6,21,"Norway","223240","Jon T. Klepsland","O","Brentåsen","L","Vestfold","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
2013152428,"7948250c-6958-4a29-a670-ed1015b26252",10.2901,59.2232,2017,6,22,"Norway","223248","Jon T. Klepsland","O","Bokemoa LVO","L","Vestfold","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
2464501751,"8f7e3c45-4d76-4982-9478-651439e0cd4b",18.515806,54.396611,2017,9,27,"Poland","TU84652","Ave Suija","TU(M)","Pojezierze Kaszubskie, Trójmiejski Landscape Park, Gdańsk Oliwa, Dolina Radości valley",NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","University of Tartu N H M, Abarenkov K. Natural History Museum, University of Tartu. PlutoF. Occurrence dataset https://doi.org/10.15156/bio/587444 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15156/bio/587444"
1638418989,"fb8ae15d-e30c-44b4-8f61-0bb0c1d90ff9",14.225,45.3275,2016,4,6,"Croatia","000330064","Mayrhofer,Helmut, Prettner,Matthias & Grozić,Dino","GZU","Primorsko-Goranska. Učka. Passstraße zwischen Poklon und Veprinac. Panjak fireroad, NE von Ravne staje","Herbarium GZU",NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","University of Graz, Institute of Plant Sciences. University of Graz, Institute of Plant Sciences - Herbarium GZU. Occurrence dataset https://doi.org/10.15468/axtkuz accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/axtkuz"
1440673516,"2e4cc37b-302e-4f1b-bbbb-1f674ff90e14",9.976718,59.046334,2016,5,5,"Norway","JK16-202","Klepsland, Jon T.","BioFokus","Ulfsbakk SV","BioFokus","Vestfold","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Blindheim T (2020). BioFokus. Version 1.1574. BioFokus. Occurrence dataset https://doi.org/10.15468/jxbhqx accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/jxbhqx"
2013151501,"7948250c-6958-4a29-a670-ed1015b26252",9.9767,59.0463,2016,5,5,"Norway","222389","Jon T. Klepsland","O","Ulfsbakk SV","L","Vestfold","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
1657195781,"fb8ae15d-e30c-44b4-8f61-0bb0c1d90ff9",19.59517,42.90072,2016,6,10,"Montenegro","000331695","Mayrhofer,Helmut & Fötschl,Beate","GZU","Montenegro, Biogradskagora Nationalpark, Biogradska jezero, near parking site","Herbarium GZU",NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","University of Graz, Institute of Plant Sciences. University of Graz, Institute of Plant Sciences - Herbarium GZU. Occurrence dataset https://doi.org/10.15468/axtkuz accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/axtkuz"
