"key","datasetKey","decimalLongitude","decimalLatitude","stateProvince","year","month","day","country","catalogNumber","recordedBy","institutionCode","locality","collectionCode","notes","citation","doi"
1086226117,"fe35d6a0-0c6e-11dd-84d2-b8a03c50a862",17,58,"Södermanland",1997,8,2,"Sweden","L13121","G. Odelvik & R. Karlsson","S","Södermanland: Mörkö sn, Hörningsholm, ekhage vid Simonsö. På bark av Quercus robur. RUBIN 9I9a 3-1-","S-Fungi","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Telenius A (2016). Fungi (S). GBIF-Sweden. Occurrence dataset https://doi.org/10.15468/qfmb77 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/qfmb77"
1898254216,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",14.64182,58.30224,"Östergötland",1996,1,9,"Sweden","1963748","Janne Andersson","LD","nedanför Marbergen","General","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Wittzell H, Shah M (2020). Lund Botanical Museum (LD). Lund Botanical Museum (LD). Occurrence dataset https://doi.org/10.15468/c4w4co accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/c4w4co"
1086440816,"fe35d6a0-0c6e-11dd-84d2-b8a03c50a862",17,58,"Södermanland",1996,2,3,"Sweden","F169738","Mats Nordin","S","Södermanland, Ösmo sn, Rassa","S-Fungi","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Telenius A (2016). Fungi (S). GBIF-Sweden. Occurrence dataset https://doi.org/10.15468/qfmb77 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/qfmb77"
1086440763,"fe35d6a0-0c6e-11dd-84d2-b8a03c50a862",18,59,"Uppland",1995,6,18,"Sweden","F169687","Mats Nordin","S","Uppland, Estuna sn, Norra Malma naturreservat","S-Fungi","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Telenius A (2016). Fungi (S). GBIF-Sweden. Occurrence dataset https://doi.org/10.15468/qfmb77 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/qfmb77"
1086233121,"fe35d6a0-0c6e-11dd-84d2-b8a03c50a862",17,59,"Uppland",1992,10,8,"Sweden","L16376","Mats Nordin","S","Södermanland; Låssa; c. 700 m NE Ådö mangårdsbyggnad;; RUBIN 10I9f 4033","S-Fungi","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Telenius A (2016). Fungi (S). GBIF-Sweden. Occurrence dataset https://doi.org/10.15468/qfmb77 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/qfmb77"
1086233104,"fe35d6a0-0c6e-11dd-84d2-b8a03c50a862",17,58,"Södermanland",1992,11,9,"Sweden","L16375","Mats Nordin","S","Södermanland; Mörkö; ön Fifång, c. 400 m N öns S-spets;; RUBIN 9I5c 0503","S-Fungi","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Telenius A (2016). Fungi (S). GBIF-Sweden. Occurrence dataset https://doi.org/10.15468/qfmb77 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/qfmb77"
1099939745,"858c1c6c-f762-11e1-a439-00145eb45e9a",-1.983333,43.316666,NA,1991,7,22,"Spain","M-0042064 / 16347 / 10399","Diederich, P.","SNSB-M","Spain. Navarra, Pyrenean Mountains. 20 km E of San Sebastian, Col d'Ibardin, old oak forest, in a moist gorge. 43°18'N, 1°41'E. Alt. 300 m. On Lecanactis amylacea (Ehrh. ex Pers.) Arnold and Schismatomma decolorans (Turner &Borrer ex Sm.) Clauz. &Vezda.","BSMlichfungicoll","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Staatliche Naturwissenschaftliche Sammlungen Bayerns. The Collection of Lichenicolous Fungi at the Botanische Staatssammlung München. Occurrence dataset https://doi.org/10.15468/ni5yho accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ni5yho"
1122937235,"7ba35058-f762-11e1-a439-00145eb45e9a",-1.983333,43.316666,NA,1991,7,22,"Spain","M-0042064 / 16347 / 10399","Diederich, P.","SNSB-M","Spain. Navarra, Pyrenean Mountains. 20 km E of San Sebastian, Col d'Ibardin, old oak forest, in a moist gorge. 43°18'N, 1°41'E. Alt. 300 m. On Lecanactis amylacea (Ehrh. ex Pers.) Arnold and Schismatomma decolorans (Turner &Borrer ex Sm.) Clauz. &Vezda.","BSMmicrofexscoll","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Staatliche Naturwissenschaftliche Sammlungen Bayerns. The Exsiccatal Series ""Triebel, Microfungi exsiccati"". Occurrence dataset https://doi.org/10.15468/qxmief accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/qxmief"
2464458235,"8f7e3c45-4d76-4982-9478-651439e0cd4b",16.9,57.083333,NA,1990,6,6,"Sweden","TU79658","Hans Trass","TU(M)","Öland, Lilla Horn",NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","University of Tartu N H M, Abarenkov K. Natural History Museum, University of Tartu. PlutoF. Occurrence dataset https://doi.org/10.15156/bio/587444 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15156/bio/587444"
842525,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",14.70526,56.16924,"Blekinge",1989,5,29,"Sweden","1006303","U. Arup & S. Ekman","LD","Stensnäs","General","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Wittzell H, Shah M (2020). Lund Botanical Museum (LD). Lund Botanical Museum (LD). Occurrence dataset https://doi.org/10.15468/c4w4co accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/c4w4co"
