"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","catalogNumber","institutionCode","locality","collectionCode","stateProvince","recordedBy","notes","citation","doi"
1500365571,"bf2a4bf0-5f31-11de-b67e-b8a03c50a862",13.599444,45.152222,2016,9,23,"Croatia","E00817841","E","Istria, Vrsar, 200 m north of the harbour, 100 m east of the bathing beach, path to a vantage point on a small rocky hill","E",NA,"Obermayer, Walter","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Rob Cubey (2018). Royal Botanic Garden Edinburgh Herbarium (E). Royal Botanic Garden Edinburgh. Occurrence dataset https://doi.org/10.15468/ypoair accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ypoair"
1836418062,"85739778-f762-11e1-a439-00145eb45e9a",5.31,52.1517,2016,12,27,"Netherlands","195609","B","THE NETHERLANDS, Utrecht: Soest, nature reserve Korte Duinen, afforestation in former Zonnegloren area. Alt. 10 m.","Lichen Herbarium Berlin",NA,"H. Sipman & A. Aptroot","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Botanic Garden and Botanical Museum Berlin (2016). Lichens at Herbarium Berolinense, Berlin (B). Occurrence dataset https://doi.org/10.15468/gmyyyu accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/gmyyyu"
1675763876,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.595278,50.0814,2015,2,13,"Germany","221463","FR","Frankfurt, Schwanheimer Wald","Herbarium Senckenbergianum (FR) - Fungi",NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
1675763892,"828a3d8c-f762-11e1-a439-00145eb45e9a",9.484909,41.045058,2015,5,26,"Italy","262107","FR","Prov. Olbia-Tempio, La Gallura, The P.ta di la Vigna Vecchia east of San Pantaleo southeast of Arzachena, lower southern slopes","Herbarium Senckenbergianum (FR) - Fungi",NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
1324742850,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",5.74267,58.95005,2015,6,5,"Norway","98169","BG","Hillevåg, along and E of Hillevågsveien, N of junction Hamneveien","L","Rogaland","Tønsberg, T. & Nygaard, E.","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","University of Bergen: University Museum (2020). Lichen herbarium, UiB. Version 1.926. Occurrence dataset https://doi.org/10.15468/gpfklm accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/gpfklm"
1675763881,"828a3d8c-f762-11e1-a439-00145eb45e9a",9.311269,41.002154,2015,6,3,"Italy","221754","FR","Prov. Olbia-Tempio, La Gallura, Sant'Antonio di Gallura, northern outskirts, shrine and resting place by the S.P. 49","Herbarium Senckenbergianum (FR) - Fungi",NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
1675763883,"828a3d8c-f762-11e1-a439-00145eb45e9a",9.485699,41.053504,2015,6,5,"Italy","221779","FR","Prov. Olbia-Tempio, La Gallura, San Pantaleo southeast of Arzachena, Loc. Paluneddu, Via Paluneddu 1-3","Herbarium Senckenbergianum (FR) - Fungi",NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
1675763852,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.664972,49.876528,2014,6,22,"Germany","217349","FR","Darmstadt, Mathildenhöhe/Nikolaiweg, Untersuchungsgebiet 4, Aufnahmebaum 6","Herbarium Senckenbergianum (FR) - Fungi",NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
1675763853,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.078944,50.078944,2014,7,15,"Germany","218128","FR","Untermainebene, Frankfurt, Schwanheim, Schwanheimer Wald, Schwanheimer Bahnstraße, westl. des Spielparkes","Herbarium Senckenbergianum (FR) - Fungi",NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
1675763854,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.605228,50.076132,2014,7,15,"Germany","218142","FR","Untermainebene, Frankfurt, Goldstein, Unterschweinstiegschneise, Waldfriedhof","Herbarium Senckenbergianum (FR) - Fungi",NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
1675763862,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.583734,50.077225,2014,7,15,"Germany","218135","FR","Untermainebene, Frankfurt, Schwanheim, Schwanheimer Wald, Rechte Wiese"" östl. der Schwanheimer Bahnstraße""","Herbarium Senckenbergianum (FR) - Fungi",NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
1675763863,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.632679,50.138744,2014,7,14,"Germany","218124","FR","Main-Taunusvorland, Frankfurt, Nordwesten, Volkspark Niddatal, südlicher Bereich","Herbarium Senckenbergianum (FR) - Fungi",NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
1324742851,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",5.74312,58.94898,2013,4,8,"Norway","98015","BG","Hillevågsveien","L","Rogaland","Nygaard, Endre","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","University of Bergen: University Museum (2020). Lichen herbarium, UiB. Version 1.926. Occurrence dataset https://doi.org/10.15468/gpfklm accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/gpfklm"
1675763905,"828a3d8c-f762-11e1-a439-00145eb45e9a",-1.396467,43.329167,2013,6,26,"France","42709","FR","Itxassou, Parkplatz vom Hotel Txistulari","Herbarium Senckenbergianum (FR) - Fungi",NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
1212105093,"85739778-f762-11e1-a439-00145eb45e9a",5.26,52.1433,2013,12,28,"Netherlands","186227","B","THE NETHERLANDS, Utrecht: Soesterberg, former airfield, near ecoduct Op Hees. Alt. 10 m.","Lichen Herbarium Berlin",NA,"H. Sipman & A. Aptroot","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Botanic Garden and Botanical Museum Berlin (2016). Lichens at Herbarium Berolinense, Berlin (B). Occurrence dataset https://doi.org/10.15468/gmyyyu accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/gmyyyu"
1502224767,"95e635d4-f762-11e1-a439-00145eb45e9a",-0.79,39.84,2011,2,12,"Spain","1223453","BDBCV","La UmbrÃ­a","BDBCV-General","Valencia","V. Atienza Tamarit | C. J. Mansanet Salvador","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Ranz J (2017). Banco de Datos de la Biodiversidad de la Comunitat Valenciana. Biodiversity data bank of Generalitat Valenciana. Occurrence dataset https://doi.org/10.15468/b4yqdy accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/b4yqdy"
1502224775,"95e635d4-f762-11e1-a439-00145eb45e9a",-0.91,39.82,2011,2,12,"Spain","1223428","BDBCV","Sierra de Alcotas","BDBCV-General","Valencia","V. Atienza Tamarit | C. J. Mansanet Salvador","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Ranz J (2017). Banco de Datos de la Biodiversidad de la Comunitat Valenciana. Biodiversity data bank of Generalitat Valenciana. Occurrence dataset https://doi.org/10.15468/b4yqdy accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/b4yqdy"
1502225082,"95e635d4-f762-11e1-a439-00145eb45e9a",-0.81,39.77,2011,2,12,"Spain","1223712","BDBCV","Km 4 de la CV-341","BDBCV-General","Valencia","V. Atienza Tamarit | C. J. Mansanet Salvador","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Ranz J (2017). Banco de Datos de la Biodiversidad de la Comunitat Valenciana. Biodiversity data bank of Generalitat Valenciana. Occurrence dataset https://doi.org/10.15468/b4yqdy accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/b4yqdy"
2425460471,"7f2889e6-f762-11e1-a439-00145eb45e9a",2.46,42.14,2011,3,26,"Spain","19917","BCN","El Corb","Lich","Girona","Esteve Llop","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Guardia R (2019). CeDoc de Biodiversitat Vegetal: BCN-Lich. CeDoc of Plant Biodiversity (CeDocBIV), Univ. Barcelona. Occurrence dataset https://doi.org/10.15468/mpc1pf accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/mpc1pf"
911958251,"828a3d8c-f762-11e1-a439-00145eb45e9a",13.87195,51.517783,2011,8,16,"Germany","29509","FR","Schipkau","Herbarium Senckenbergianum (FR) - Fungi",NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
2425459232,"7f2889e6-f762-11e1-a439-00145eb45e9a",2.46,42.14,2011,9,30,"Spain","20124","BCN","Fageda d'en Jordà","Lich","Girona","Esteve Llop","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Guardia R (2019). CeDoc de Biodiversitat Vegetal: BCN-Lich. CeDoc of Plant Biodiversity (CeDocBIV), Univ. Barcelona. Occurrence dataset https://doi.org/10.15468/mpc1pf accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/mpc1pf"
2425460370,"7f2889e6-f762-11e1-a439-00145eb45e9a",2.45,42.23,2011,9,6,"Spain","19958","BCN","L'Espunya","Lich","Girona","Esteve Llop","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Guardia R (2019). CeDoc de Biodiversitat Vegetal: BCN-Lich. CeDoc of Plant Biodiversity (CeDocBIV), Univ. Barcelona. Occurrence dataset https://doi.org/10.15468/mpc1pf accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/mpc1pf"
1569807168,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",11.93079,57.69181,2011,NA,NA,"Sweden","1509788","LD","Kviberg, norra delen","General",NA,"Ulf Larsson","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Wittzell H, Shah M (2020). Lund Botanical Museum (LD). Lund Botanical Museum (LD). Occurrence dataset https://doi.org/10.15468/c4w4co accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/c4w4co"
2425459459,"7f2889e6-f762-11e1-a439-00145eb45e9a",1.49,41.86,2010,6,NA,"Spain","19503","BCN","Carretera de Torà a Solsona, passat el trencall a Vallferosa.","Lich","Lleida","Xavier Llimona Pagès","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Guardia R (2019). CeDoc de Biodiversitat Vegetal: BCN-Lich. CeDoc of Plant Biodiversity (CeDocBIV), Univ. Barcelona. Occurrence dataset https://doi.org/10.15468/mpc1pf accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/mpc1pf"
911958281,"828a3d8c-f762-11e1-a439-00145eb45e9a",13.89445,51.326383,2010,9,22,"Germany","30037","FR","Oberlausitz, NSG Königsbrücker Heide, südlich der Dorfstelle Otterschütz","Herbarium Senckenbergianum (FR) - Fungi",NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
