"key","datasetKey","decimalLongitude","decimalLatitude","stateProvince","year","month","day","country","catalogNumber","recordedBy","institutionCode","collectionCode","locality","notes","citation","doi"
1440673879,"2e4cc37b-302e-4f1b-bbbb-1f674ff90e14",6.304815,58.331536,"Rogaland",2016,10,11,"Norway","JK16-874","Klepsland, Jon T.","BioFokus","BioFokus","Nedre Lauvås SØ","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Blindheim T (2020). BioFokus. Version 1.1574. BioFokus. Occurrence dataset https://doi.org/10.15468/jxbhqx accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/jxbhqx"
1440673917,"2e4cc37b-302e-4f1b-bbbb-1f674ff90e14",6.254456,58.342462,"Rogaland",2016,10,10,"Norway","JK16-859","Klepsland, Jon T.","BioFokus","BioFokus","Lundaknuden S","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Blindheim T (2020). BioFokus. Version 1.1574. BioFokus. Occurrence dataset https://doi.org/10.15468/jxbhqx accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/jxbhqx"
2013151903,"7948250c-6958-4a29-a670-ed1015b26252",6.3048,58.3315,"Rogaland",2016,10,11,"Norway","222906","Jon T. Klepsland","O","L","Nedre Lauvås SØ","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
2013151951,"7948250c-6958-4a29-a670-ed1015b26252",6.2545,58.3425,"Rogaland",2016,10,10,"Norway","222893","Jon T. Klepsland","O","L","Lundaknuden S","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
2013152079,"7948250c-6958-4a29-a670-ed1015b26252",6.2551,58.3445,"Rogaland",2016,10,10,"Norway","222896","Jon T. Klepsland","O","L","Lundaknuden","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
1675788162,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.294635,50.156017,NA,2015,1,9,"Germany","221529",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","Hoher Taunus, das Theißtal westl. von Niedernhausen, Feldkreuz bei den Fischteichen","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
1675788109,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.595,50.082817,NA,2015,2,13,"Germany","221461",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","Frankfurt, Schwanheimer Wald","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
1675788160,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.5602,50.066111,NA,2015,3,8,"Germany","221482",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","Frankfurt, Unterwald","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
1270682659,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.282333,50.91995,NA,2015,10,13,"Germany","42807",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","Lorenzsteine","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
1675788099,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.605228,50.076132,NA,2014,7,15,"Germany","218140",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","Untermainebene, Frankfurt, Goldstein, Unterschweinstiegschneise, Waldfriedhof","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
