"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","catalogNumber","recordedBy","institutionCode","locality","collectionCode","stateProvince","notes","citation","doi"
1086232363,"fe35d6a0-0c6e-11dd-84d2-b8a03c50a862",11,59,1932,8,11,"Sweden","L16011","A. H. Magnusson","S","Bohuslän; Hogdal; Dynekilen;;","S-Fungi","Bohuslän","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Telenius A (2016). Fungi (S). GBIF-Sweden. Occurrence dataset https://doi.org/10.15468/qfmb77 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/qfmb77"
1086271165,"fe35d6a0-0c6e-11dd-84d2-b8a03c50a862",12,58,1932,8,8,"Sweden","L36501","Rolf Santesson","S","Västergötland: Flo sn, Halleberg, Ovandalen","S-Fungi","Västergötland","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Telenius A (2016). Fungi (S). GBIF-Sweden. Occurrence dataset https://doi.org/10.15468/qfmb77 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/qfmb77"
1086271174,"fe35d6a0-0c6e-11dd-84d2-b8a03c50a862",13,57,1932,8,23,"Sweden","L36512","T. E. Hasselrot","S","Västergötland: Gullered sn, Karlskog","S-Fungi","Västergötland","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Telenius A (2016). Fungi (S). GBIF-Sweden. Occurrence dataset https://doi.org/10.15468/qfmb77 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/qfmb77"
1086271154,"fe35d6a0-0c6e-11dd-84d2-b8a03c50a862",12,58,1932,9,8,"Sweden","L36489","Rolf Santesson","S","Västergötland: Västra Tunhem sn, Hunneberg, N om Nygård","S-Fungi","Västergötland","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Telenius A (2016). Fungi (S). GBIF-Sweden. Occurrence dataset https://doi.org/10.15468/qfmb77 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/qfmb77"
234004643,"905daf20-04fd-11df-8c28-b8a03c50a862",5.13147,59.71774,1931,8,27,"Norway","46401","Gustaf Sandberg","UME",NA,"General",NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Telenius A, Stenman K (2017). Herbarium of Umeå University (UME). GBIF-Sweden. Occurrence dataset https://doi.org/10.15468/gatdg4 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/gatdg4"
1086232347,"fe35d6a0-0c6e-11dd-84d2-b8a03c50a862",12,57,1928,6,3,"Sweden","L16014","A. H. Magnusson","S","Västergötland; Björketorp; Hindås;;","S-Fungi","Västergötland","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Telenius A (2016). Fungi (S). GBIF-Sweden. Occurrence dataset https://doi.org/10.15468/qfmb77 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/qfmb77"
1086271192,"fe35d6a0-0c6e-11dd-84d2-b8a03c50a862",13,57,1927,6,NA,"Sweden","L36516","T. E. Hasselrot","S","Västergötland: Ulricehamn, Blåhall","S-Fungi","Västergötland","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Telenius A (2016). Fungi (S). GBIF-Sweden. Occurrence dataset https://doi.org/10.15468/qfmb77 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/qfmb77"
1086271184,"fe35d6a0-0c6e-11dd-84d2-b8a03c50a862",12,57,1926,6,3,"Sweden","L36506","T. E. Hasselrot","S","Västergötland: Älvsered","S-Fungi","Västergötland","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Telenius A (2016). Fungi (S). GBIF-Sweden. Occurrence dataset https://doi.org/10.15468/qfmb77 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/qfmb77"
1086271186,"fe35d6a0-0c6e-11dd-84d2-b8a03c50a862",13,57,1926,6,3,"Sweden","L36510","T. E. Hasselrot","S","Västergötland: Revesjö sn","S-Fungi","Västergötland","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Telenius A (2016). Fungi (S). GBIF-Sweden. Occurrence dataset https://doi.org/10.15468/qfmb77 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/qfmb77"
1086232412,"fe35d6a0-0c6e-11dd-84d2-b8a03c50a862",12,57,1923,7,NA,"Sweden","L16017","E.P. Vrang","S","Västergötland; Älvsered","S-Fungi","Västergötland","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Telenius A (2016). Fungi (S). GBIF-Sweden. Occurrence dataset https://doi.org/10.15468/qfmb77 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/qfmb77"
