"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","catalogNumber","institutionCode","locality","collectionCode","stateProvince","recordedBy","notes","citation","doi"
1100008386,"858c1c6c-f762-11e1-a439-00145eb45e9a",5.75,53.049999,2002,7,16,"Netherlands","M-0045195 / 478476 / 174770","SNSB-M","Netherlands, Prov. Friesland, Oudkerk, along road in the village Coord.: 188.6 -586.5 Block: 6-32-44.","BSMlichfungicoll",NA,"Aptroot, A. (no. 54756)","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Staatliche Naturwissenschaftliche Sammlungen Bayerns. The Collection of Lichenicolous Fungi at the Botanische Staatssammlung München. Occurrence dataset https://doi.org/10.15468/ni5yho accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ni5yho"
1100008408,"858c1c6c-f762-11e1-a439-00145eb45e9a",5.75,53.049999,2002,7,16,"Netherlands","M-0045714 / 487435 / 181360","SNSB-M","Netherlands, Prov. Friesland, Oudkerk, along road in the village. Coord. 188.6-586.5 Block: 6-32-44.","BSMlichfungicoll",NA,"Aptroot, A. (no. 54755)","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Staatliche Naturwissenschaftliche Sammlungen Bayerns. The Collection of Lichenicolous Fungi at the Botanische Staatssammlung München. Occurrence dataset https://doi.org/10.15468/ni5yho accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ni5yho"
1212237457,"85739778-f762-11e1-a439-00145eb45e9a",35.9978,35.8508,1999,4,5,"Syrian Arab Republic","13720","B","SYRIA, Muhafazat Lattakia: Ghabat el Foroulluk (Frouloq Forest), ca. 40 km NNE of Lattakia. Alt. 540-650 m.","Lichen Herbarium Berlin",NA,"L. Zedda","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Botanic Garden and Botanical Museum Berlin (2016). Lichens at Herbarium Berolinense, Berlin (B). Occurrence dataset https://doi.org/10.15468/gmyyyu accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/gmyyyu"
2449348936,"85739778-f762-11e1-a439-00145eb45e9a",35.9978,35.8508,1999,4,5,"Syrian Arab Republic","13106","B","SYRIA, Muhafazat Lattakia: Ghabat el Foroulluk (Frouloq Forest), ca. 40 km NNE of Lattakia. Alt. 540-650 m.","Lichen Herbarium Berlin",NA,"L. Zedda","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Botanic Garden and Botanical Museum Berlin (2016). Lichens at Herbarium Berolinense, Berlin (B). Occurrence dataset https://doi.org/10.15468/gmyyyu accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/gmyyyu"
1826811462,"7f2889e6-f762-11e1-a439-00145eb45e9a",2.94,41.78,1995,3,15,"Spain","10750","BCN","Can Coure","Lich","Girona","Antonio Gómez-Bolea & Montserrat Boqueras","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Guardia R (2019). CeDoc de Biodiversitat Vegetal: BCN-Lich. CeDoc of Plant Biodiversity (CeDocBIV), Univ. Barcelona. Occurrence dataset https://doi.org/10.15468/mpc1pf accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/mpc1pf"
178330798,"890afcd2-f762-11e1-a439-00145eb45e9a",3.223,41.960999,1994,2,24,"Spain","9040-1","VAL","Begur. Sa Tuna","VAL_Lich","Ge","S. Fos","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Atienza V (2019). Universitat de València, Colecciones de Criptógamas: VAL_Lich. Department of Botany, Faculty of Biological Sciences, University of Valencia. Occurrence dataset https://doi.org/10.15468/okajpo accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/okajpo"
178330805,"890afcd2-f762-11e1-a439-00145eb45e9a",3.223,41.970001,1994,2,24,"Spain","9082-1","VAL","Begur. Puig Malaret","VAL_Lich","Ge","S. Fos","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Atienza V (2019). Universitat de València, Colecciones de Criptógamas: VAL_Lich. Department of Botany, Faculty of Biological Sciences, University of Valencia. Occurrence dataset https://doi.org/10.15468/okajpo accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/okajpo"
29567844,"83492a58-f762-11e1-a439-00145eb45e9a",-5,36,1994,4,17,"Spain","5761-1","MA","Jerez de la Frontera, carretera C3331 Km 41, Teucrio baetici-Querceto rotundifoliae sigmetum","MA-Lichen","Ca","J. Etayo, M. Casares, A. Gómez-Bolea & al.","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Margarita M (2018). CSIC-Real Jardín Botánico-Colección de Líquenes (MA-Lichen). CSIC-Real Jardín Botánico. Occurrence dataset https://doi.org/10.15468/z7wqal accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/z7wqal"
178330364,"890afcd2-f762-11e1-a439-00145eb45e9a",-5.538,36.077,1992,10,18,"Spain","3774-1","VAL","Tarifa. Sierra del Cabrito. Puerto del Bujeo","VAL_Lich","Ca","S. Fos","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Atienza V (2019). Universitat de València, Colecciones de Criptógamas: VAL_Lich. Department of Botany, Faculty of Biological Sciences, University of Valencia. Occurrence dataset https://doi.org/10.15468/okajpo accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/okajpo"
178330787,"890afcd2-f762-11e1-a439-00145eb45e9a",-5.585,36.167,1992,10,17,"Spain","8976-1","VAL","Tarifa. Sierra de Saladavieja. El Tiradero","VAL_Lich","Ca","S. Fos","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Atienza V (2019). Universitat de València, Colecciones de Criptógamas: VAL_Lich. Department of Botany, Faculty of Biological Sciences, University of Valencia. Occurrence dataset https://doi.org/10.15468/okajpo accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/okajpo"
