"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","locality","catalogNumber","recordedBy","institutionCode","collectionCode","stateProvince","notes","citation","doi"
1212167083,"85739778-f762-11e1-a439-00145eb45e9a",24.685,40.73,2010,5,26,"Greece","GREECE, nom. Kavala: Thasos island, along road from Maries to Dio Kefales, sideroad from Ipsario road. Alt. 900 m.","185828","H. Sipman & T. Raus","B","Lichen Herbarium Berlin",NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Botanic Garden and Botanical Museum Berlin (2016). Lichens at Herbarium Berolinense, Berlin (B). Occurrence dataset https://doi.org/10.15468/gmyyyu accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/gmyyyu"
1212167157,"85739778-f762-11e1-a439-00145eb45e9a",24.6767,40.7117,2010,5,26,"Greece","GREECE, nom. Kavala: Thasos island, along road from Maries to Dio Kefales, sideroad from Ipsario road. Alt. 800 m.","185827","H. Sipman & T. Raus","B","Lichen Herbarium Berlin",NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Botanic Garden and Botanical Museum Berlin (2016). Lichens at Herbarium Berolinense, Berlin (B). Occurrence dataset https://doi.org/10.15468/gmyyyu accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/gmyyyu"
1503053288,"aec6d756-3aa8-465e-83fd-4f6ee83e693e",14.5764,56.0522,2010,5,8,"Sweden","Sölvesborg, entrance of the sport arena","C0305186F","A. Thell","F","Botany","Blekinge","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Grant S, von Konrat M (2020). Field Museum of Natural History (Botany) Lichen Collection. Version 2.11. Field Museum. Occurrence dataset https://doi.org/10.15468/sc258x accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/sc258x"
788575508,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",14.04107,55.78998,2009,1,22,"Sweden","No locality information available","1333623","Emma Sandler Berlin","LD","General",NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Wittzell H, Shah M (2020). Lund Botanical Museum (LD). Lund Botanical Museum (LD). Occurrence dataset https://doi.org/10.15468/c4w4co accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/c4w4co"
2237905035,"84d26682-f762-11e1-a439-00145eb45e9a",12.373352,55.256033,2007,9,1,"Denmark","Rødvig","DMS-1038792","Vagn Alstrup",NA,NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Frøslev T G, Heilmann-Clausen J, Lange C, Læssøe T, Petersen J H, Søchting U, Jeppesen T S, Vesterholt J (2020). Danish Mycological Society, fungal records database. Danish Mycological Society. Occurrence dataset https://doi.org/10.15468/zn159h accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/zn159h"
919296129,"7948250c-6958-4a29-a670-ed1015b26252",4.8621,52.3556,2007,10,13,"Netherlands","Amsterdam, Emmalan, just S of entrance to Vondelpark","150773","S. Rui, E. Timdal","O","L",NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
886419,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",13.23871,55.83901,2006,7,27,"Sweden","Remmarlöv","1185682","Arne Thell","LD","General","Skåne","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Wittzell H, Shah M (2020). Lund Botanical Museum (LD). Lund Botanical Museum (LD). Occurrence dataset https://doi.org/10.15468/c4w4co accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/c4w4co"
2237895814,"84d26682-f762-11e1-a439-00145eb45e9a",9.34393,56.3929,2005,3,24,"Denmark","Hald Hovedgård","DMS-1030070","David Boertmann",NA,NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Frøslev T G, Heilmann-Clausen J, Lange C, Læssøe T, Petersen J H, Søchting U, Jeppesen T S, Vesterholt J (2020). Danish Mycological Society, fungal records database. Danish Mycological Society. Occurrence dataset https://doi.org/10.15468/zn159h accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/zn159h"
2237980591,"84d26682-f762-11e1-a439-00145eb45e9a",9.34393,56.3929,2005,3,24,"Denmark","Hald Hovedgård","DMS-248612","David Boertmann",NA,NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Frøslev T G, Heilmann-Clausen J, Lange C, Læssøe T, Petersen J H, Søchting U, Jeppesen T S, Vesterholt J (2020). Danish Mycological Society, fungal records database. Danish Mycological Society. Occurrence dataset https://doi.org/10.15468/zn159h accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/zn159h"
152938621,"89579e3e-f762-11e1-a439-00145eb45e9a",13.745359,46.299628,2002,5,16,"Slovenia","Ukanc","F957260","Mrak T.","ULBF-AGR","FloVegSI-FLO","Gorenjska","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Scientific Research Centre of the Slovenian Academy of Sciences and Arts, Institute of Biology. FloVegSI - Floristical and fitocenological database of ZRC SAZU. Occurrence dataset https://doi.org/10.15468/v3vxya accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/v3vxya"
