"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","catalogNumber","institutionCode","locality","collectionCode","stateProvince","recordedBy"
2005116754,"828a3d8c-f762-11e1-a439-00145eb45e9a",18.876333,48.16695,2018,5,22,"Slovakia","54535-771","FR","Dudince, im Park","Herbarium Senckenbergianum (FR) - Fungi",NA,NA
2449421249,"7948250c-6958-4a29-a670-ed1015b26252",8.425,59.3864,2018,8,17,"Norway","226572","O","Kassenes V","L","Telemark","Jon T. Klepsland"
1837799728,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",6.2643,58.3401,2017,7,14,"Norway","37109/1","TRH","Skåras","L","Rogaland","Andreas Frisch"
1821769199,"2e4cc37b-302e-4f1b-bbbb-1f674ff90e14",11.011922,59.972788,2017,8,24,"Norway","JK17-507","BioFokus","Solvangen (Skjetten)","BioFokus","Akershus","Klepsland, Jon T."
2013152565,"7948250c-6958-4a29-a670-ed1015b26252",11.0119,59.9728,2017,8,24,"Norway","223442","O","Solvangen (Skjetten)","L","Akershus","Jon T. Klepsland"
1233562558,"828a3d8c-f762-11e1-a439-00145eb45e9a",16.009417,50.920467,2015,6,14,"Poland","41028","FR","beim Bärstein","Herbarium Senckenbergianum (FR) - Fungi",NA,NA
2013151166,"7948250c-6958-4a29-a670-ed1015b26252",8.5705,59.4578,2015,9,9,"Norway","222100","O","Meås SØ","L","Telemark","Jon T. Klepsland"
2013151210,"7948250c-6958-4a29-a670-ed1015b26252",7.8119,58.5838,2015,9,3,"Norway","222092","O","Kjersti Park","L","Aust-Agder","Jon T. Klepsland"
1061067328,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.183667,50.948417,2014,10,28,"Germany","38381","FR","Schwarzbachtal","Herbarium Senckenbergianum (FR) - Fungi",NA,NA
1061067329,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.183617,50.94805,2014,10,28,"Germany","38379","FR","im Schwarzbachtal","Herbarium Senckenbergianum (FR) - Fungi",NA,NA
1305184441,"bf2a4bf0-5f31-11de-b67e-b8a03c50a862",-1.657222,53.190556,2013,4,22,"United Kingdom","E00786411","E","Bakewell, Haddon Park","E","England","Coppins, Brian J."
2013152146,"7948250c-6958-4a29-a670-ed1015b26252",7.8223,61.0273,2013,5,8,"Norway","223038","O","Nesådalen","L","Sogn og Fjordane","Jon T. Klepsland"
1324741825,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",6.29573,59.63362,2011,4,23,"Norway","96031","BG","Sauda?","L","Rogaland","Tønsberg, T. & Botnen, A."
1148653781,"8f7e3c45-4d76-4982-9478-651439e0cd4b",4.5483,50.07368,2008,11,8,"Belgium","TU45045a","TU(M)","Commune de Viroinval, Nismes (village)",NA,NA,"Ave Suija"
1212118607,"85739778-f762-11e1-a439-00145eb45e9a",6.6233,50.2217,2005,5,6,"Germany","67756","B","GERMANY, Rheinland-Pfalz, Kr. Daun: Dietzenley near Büscheich, wooded hill E of Birresborn. Alt. c. 600 m.","Lichen Herbarium Berlin",NA,"H. Sipman"
1872036160,"aec6d756-3aa8-465e-83fd-4f6ee83e693e",7.237244,50.678712,2005,5,7,"Germany","C1017650F","F","Nohn, Wasserfall area","Botany","Rheinland-Pfalz","A. Aptroot"
1872036812,"aec6d756-3aa8-465e-83fd-4f6ee83e693e",4.100164,50.726476,2003,8,9,"Belgium","C0349083F","F","Heikruis, Montagnestraat","Botany","Brabent","A. Aptroot"
29522013,"83492a58-f762-11e1-a439-00145eb45e9a",-1,43,1994,1,4,"Spain","5340-1","MA","Oronoz-Mugaire, Parque natural de Bértiz, subiendo a Aitzcolegi","MA-Lichen","Na","J. Etayo"
19998620,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",5.29736,60.45932,1992,8,23,"Norway","25552","BG","Tertnes","L","Hordaland","Tønsberg, T."
19998499,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",6.32062,60.62756,1991,9,22,"Norway","22854","BG","N bank of Vangsvatnet, along river Dyrvo","L","Hordaland","Tønsberg, T."
2028382192,"ee4d0706-38af-4bc4-8539-e17c0ca8512e",6.32012834024571,60.6278742876785,1991,9,22,"Norway","294506","DUKE","Voss, N bank of Lake Vangsvatnet, along river Dyrvo",NA,"Hordaland","Tønsberg, Tor"
19998488,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",5.29736,60.45932,1990,8,22,"Norway","22851","BG","Åsane, Tertnes","L","Hordaland","Tønsberg, T."
19998493,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",5.26897,60.07202,1990,9,8,"Norway","22852","BG","Huftarøy, Haukanes","L","Hordaland","Tønsberg, T."
19998496,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",5.29736,60.45932,1990,11,10,"Norway","22853","BG","Åsane, Tertnes","L","Hordaland","Tønsberg, T."
19997882,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",7.22109,60.89177,1988,6,29,"Norway","13540","BG","Tokkvam","L","Sogn og fjordane","Odland, A."
1057456140,"7e380070-f762-11e1-a439-00145eb45e9a",-4.640454,56.066192,1980,9,5,"United Kingdom","BM000501121","NHMUK",NA,"BOT","Scotland","Brian J. Coppins"
1099008134,"7ba21c92-f762-11e1-a439-00145eb45e9a",-4.6266,56.08606,1980,9,5,"United Kingdom","M-0024191 / 551506 / 230757","SNSB-M","U.K., Dunbarton (VC99), Loch Lomond NNR, Shore Wood.","BSMlichenscoll",NA,"Coppins, B.J. (no. 8212)"
