"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","catalogNumber","institutionCode","locality","collectionCode","stateProvince","recordedBy"
912727538,"828a3d8c-f762-11e1-a439-00145eb45e9a",39.872783,44.484167,2012,8,14,"Russian Federation","33653","FR","Apseronskij Rajon, Wald bei Rastplatz an der Strasse zwischen Apseronsk und Maikop","Herbarium Senckenbergianum (FR) - Fungi",NA,NA
912726948,"828a3d8c-f762-11e1-a439-00145eb45e9a",39.945833,44.2025,2004,5,16,"Russian Federation","16164","FR","Kaukasus, nahe Mezmai","Herbarium Senckenbergianum (FR) - Fungi",NA,NA
187076811,"c89f43c2-98cf-4c60-ad53-ddf7127bb9d5",5.617618,61.612296,1991,4,21,"Norway","230","NMBU:MINA","between Endestadvatnet and Krokstadvatnet","L","Sogn og fjordane","Yngvar Gauslaa"
20058678,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",5.61627,61.61039,1991,4,21,"Norway","14157","BG","between Endestadvatnet and Krokstad vatnet","L","Sogn og fjordane","Gauslaa, Y."
20058890,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",8.51209,58.31867,1978,8,2,"Norway","25433","BG","Tjore, E of Landvikvatn","L","AUST-AGDER","Tønsberg, T."
442146223,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.675,47.660557,1910,5,8,"Germany","B 60 0069793 / 147411 / 90720","B","Baden: Röttler Wald, nahe beim Röttler Schloss","Blettaucoll",NA,"Lettau, G."
