"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","locality","catalogNumber","recordedBy","institutionCode","collectionCode","stateProvince","DB","BBarcode","b1test","name"
NA,NA,10.276951,48.455989,1969,"15.8.1969",NA,NA,"Germany, Bavaria, Lkr. Günzburg, SE of Limbach","M-0034284","H. & H. Doppelbaur","MUNICH_HTL",NA,NA,"MUNICH_HTL",NA,83,"Fellhanera bouteillei"
NA,NA,11.17186,49.46476,1960,"13.2.1960",NA,NA,"Germany, Bavaria, Oberfranken, between Sachsenmühle and Gailenreuth","M-0034283","J. Poelt","MUNICH_HTL",NA,NA,"MUNICH_HTL",NA,87,"Fellhanera bouteillei"
NA,NA,6.798316,50.076884,1954,"",NA,"GERMANY","DEUTSCHLAND, Rheinland-Pfalz: Horngraben bei Manderscheid.","97419","Th. Müller","BERLIN_DB",NA,NA,"BERLIN_DB","B 60 0141266",84,"Fellhanera bouteillei"
NA,NA,14.183188,49.933728,1933,"1933",NA,NA,"Czech Republic, Bohemia, Budńany at Berounka river, near Karlštejn","M-0034250","J. Suza","MUNICH_HTL",NA,NA,"MUNICH_HTL",NA,83,"Fellhanera bouteillei"
442142284,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.773611,47.72361,1914,"4",13,"Germany","1) Baden: Sallneck (Schopfheim)","B 60 0028460 / 145788 / 90081","Lettau, G.","B","Blettaucoll",NA,"GBIF",NA,79,"Fellhanera bouteillei"
NA,NA,11.583333,48.15,1897,"5.1897",NA,NA,"Germany, Bavaria, Munich","M-0034286","Arnold","MUNICH_HTL",NA,NA,"MUNICH_HTL",NA,80,"Fellhanera bouteillei"
NA,NA,9.931172,47.662616,1886,"7.1886",NA,NA,"Germany, Bavaria, Allgäu, Eglofs","M-0034280","","MUNICH_HTL",NA,NA,"MUNICH_HTL",NA,75,"Fellhanera bouteillei"
1503046247,"aec6d756-3aa8-465e-83fd-4f6ee83e693e",10.5,51.5,1869,"6",3,"Germany",NA,"C0059153F","F. W. Sauerbeck","F","Botany",NA,"GBIF",NA,78,"Fellhanera bouteillei"
