"key","datasetKey","decimalLongitude","decimalLatitude","stateProvince","year","month","day","country","catalogNumber","recordedBy","institutionCode","locality","collectionCode","DB","BBarcode","b1test","name"
1212043133,"85739778-f762-11e1-a439-00145eb45e9a",13.8333,52.4917,NA,2006,"4",30,"Germany","85527","H. Sipman & P. van den Boom","B","GERMANY, Brandenburg: Rüdersdorf, industrial zone S of lake Stienitzsee, near cement works. Alt. 60 m.","Lichen Herbarium Berlin","GBIF",NA,90,"Bacidina neosquamulosa"
911920098,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.4875,52.091667,NA,2005,"10",12,"Germany","23207",NA,"FR","Niederlausitz, Schlaubetal, Schlaubemühle, nördlich, nahe der Schlaube, nördlich der Teiche","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,88,"Bacidina neosquamulosa"
NA,NA,13.364395,52.513562,NA,2005,"11-Jun",NA,"GERMANY","67757","H. Sipman","BERLIN_DB","GERMANY, Berlin: Thiergarten gardens, near entrance of park maintenance yard at Bellevue str. Alt. ca. 40 m.",NA,"BERLIN_DB","B 60 0130442",91,"Bacidina neosquamulosa"
1057248755,"7e380070-f762-11e1-a439-00145eb45e9a",5.606046,52.53098,"Flevoland",1999,"11",19,"Netherlands","BM000501158","A Aproot","NHMUK",NA,"BOT","GBIF",NA,91,"Bacidina neosquamulosa"
152909990,"89579e3e-f762-11e1-a439-00145eb45e9a",14.411987,45.699727,NA,1987,"9",15,"Slovenia","F775728","Batič F.","ULBF-AGR",NA,"FloVegSI-FLO","GBIF",NA,70,"Bactrospora dryina"
1324323657,"7948250c-6958-4a29-a670-ed1015b26252",13.7758,48.4797,NA,2014,"4",5,"Austria","199199","Franz Berger","O","Oberösterreich (=Upper Austria), district of Rohrbach, 5.7 km south-southeast of the centre of 'Neustift im Mühlkreis', valley of the rivulet Ranna, 600 m north of its mouth into the river Danube (Rannamühl)","L","GBIF",NA,81,"Coniocarpon cinnabarinum"
1324325064,"7948250c-6958-4a29-a670-ed1015b26252",14.4833,47.7819,NA,2000,"10",14,"Austria","202415","J. Hafellner","O","Oberösterreich (=Upper Austria), Nationalpark Kalkalpen, Reichraminger Hintergebirge, 11.5 km S of Reichraming, between Große Klause and Anneristeg, orographically right side of the Großer Bach","L","GBIF",NA,61,"Coniocarpon cinnabarinum"
2013824339,"828a3d8c-f762-11e1-a439-00145eb45e9a",19.95555,48.21805,NA,2018,"5",23,"Slovakia","54450-771",NA,"FR","Pirsenstein (Hajnácka), Burgberg","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,92,"Diploicia canescens"
1675761138,"828a3d8c-f762-11e1-a439-00145eb45e9a",7.272217,50.168617,NA,2016,"6",25,"Germany","43382",NA,"FR","Pommern an der Mosel","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,91,"Diploicia canescens"
788472325,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",8.011944,53.544444,"Niedersachsen",2006,"11",NA,"Germany","1226506","Uwe de Bruyn","LD","Accum","General","GBIF",NA,87,"Diploicia canescens"
