"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","catalogNumber","recordedBy","institutionCode","locality","collectionCode","stateProvince","DB","BBarcode","b1test","name"
1212209474,"85739778-f762-11e1-a439-00145eb45e9a",9.4833,53.4167,2008,4,5,"Germany",103371,"H. Sipman","B","DEUTSCHLAND, Niedersachsen: Landkr. Stade. Braken NSG & FFH, S of Harsefeld. MTB 2522/4B5. Elev. 50 m.","Lichen Herbarium Berlin",NA,"GBIF",NA,84,"Phaeographis inusta"
1212209504,"85739778-f762-11e1-a439-00145eb45e9a",9,53.4167,2008,4,4,"Germany",103363,"H. Sipman","B","DEUTSCHLAND, Niedersachsen: Landkr. Landkreis Rotenburg (Wümme). Franzhorn forest N of Brillit, Naturwald area. MTB 2520/3B1. Elev. 20-40 m","Lichen Herbarium Berlin",NA,"GBIF",NA,85,"Phaeographis inusta"
912732054,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.027783,53.261117,2004,10,22,"Germany",23191,NA,"FR","Emsland, Gr. Garnholt S","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,87,"Phaeographis inusta"
