"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","catalogNumber","recordedBy","institutionCode","locality","collectionCode","stateProvince","DB","BBarcode","b1test","name"
NA,NA,13.844849,53.157172,2001,"24-Apr",NA,"GERMANY","60975","H. Sipman","BERLIN_DB","GERMANY, Brandenburg, Landkr. Uckermark. Suckow, former estate. Alt. c. 50 m.",NA,NA,"BERLIN_DB","",87,"Opegrapha vermicellifera"
1212178143,"85739778-f762-11e1-a439-00145eb45e9a",13.4133,48.3383,2000,"11",19,"Austria","178338","Franz Berger","B","AUSTRIA, Oberösterreich (=Upper Austria), district Ried im Innkreis, 29 km ENE of Braunau am Inn, along the rivulet Antisen, near Hübing. Alt. 320 m.","Lichen Herbarium Berlin",NA,"GBIF",NA,88,"Opegrapha vermicellifera"
1987970710,"628abbe5-dc8d-41e9-a0c7-f05efe282649",9.3,47.58,1999,"9",7,"Switzerland","L29272","Trevor Goward, Christoph Scheidegger","ca.ubc","Romanshorn region near Amriswii","UBC-lichen","Thurgau","GBIF",NA,92,"Opegrapha vermicellifera"
NA,NA,13.621052,53.266548,1997,"23 Nov.",NA,"GERMANY","54859","H. Sipman","BERLIN_DB","GERMANY, Brandenburg: Uckermark, Boitzenburg: Tiergarten, around and E of medieval monastery ruins.",NA,NA,"BERLIN_DB","",82,"Opegrapha vermicellifera"
2237876495,"84d26682-f762-11e1-a439-00145eb45e9a",11.66465,54.77403,1993,"10",25,"Denmark","DMS-1014364","Steen N. Christensen",NA,"Krenkerup Haveskov",NA,NA,"GBIF",NA,82,"Opegrapha vermicellifera"
152940176,"89579e3e-f762-11e1-a439-00145eb45e9a",15.24513,46.599655,1992,"4",10,"Slovenia","F775251","Koch M., Mayrhofer H., Matzer M., Pusswald W.","ULBF-AGR",NA,"FloVegSI-FLO",NA,"GBIF",NA,85,"Opegrapha vermicellifera"
NA,NA,12.819813,47.67829,1989,"15. sept.",NA,"GERMANY","38638","H. Sipman","BERLIN_DB","GERMANY, BAYERN. Berchtesgaden. Unterjettenberg. Alt. 550 m. Near margin of old deciduous forest on mountain slope with pasturefields.",NA,NA,"BERLIN_DB","",72,"Opegrapha vermicellifera"
2237866856,"84d26682-f762-11e1-a439-00145eb45e9a",11.73717,54.87344,1984,"7",19,"Denmark","DMS-1004733","Mogens Skytte Christiansen",NA,"Færgemark",NA,NA,"GBIF",NA,82,"Opegrapha vermicellifera"
2237905589,"84d26682-f762-11e1-a439-00145eb45e9a",11.7,54.85,1984,"8",14,"Denmark","DMS-1039519","Mogens Skytte Christiansen",NA,"Storskov",NA,NA,"GBIF",NA,82,"Opegrapha vermicellifera"
2270754741,"98bceab6-3c3e-4163-945d-6ca10576ebf1",8.966667,48.05,1981,"7",24,"Germany","539061","T.H. Nash III","ASU","Liebfrauertal, near the Cloisters at Beuron on the Danube",NA,"Baden-Württemberg","GBIF",NA,80,"Opegrapha vermicellifera"
2270757097,"98bceab6-3c3e-4163-945d-6ca10576ebf1",9.216667,48.116667,1981,"7",24,"Germany","539028","T.H. Nash III","ASU","Hertenstein, 3 km N of Sigmaringen",NA,"Baden-Württemberg","GBIF",NA,81,"Opegrapha vermicellifera"
152940215,"89579e3e-f762-11e1-a439-00145eb45e9a",15.245201,45.799749,1979,"7",17,"Slovenia","F776041","Batič F.","ULBF-AGR",NA,"FloVegSI-FLO",NA,"GBIF",NA,109,"Opegrapha vermicellifera"
152940196,"89579e3e-f762-11e1-a439-00145eb45e9a",14.91192,45.699747,1978,"7",15,"Slovenia","F775582","Batič F.","ULBF-AGR",NA,"FloVegSI-FLO",NA,"GBIF",NA,98,"Opegrapha vermicellifera"
2237879106,"84d26682-f762-11e1-a439-00145eb45e9a",11.35874,54.78336,1977,"7",24,"Denmark","DMS-1014257","Ulrik Søchting",NA,"Kristianssæde Skov",NA,NA,"GBIF",NA,82,"Opegrapha vermicellifera"
2270737925,"98bceab6-3c3e-4163-945d-6ca10576ebf1",10.980931,47.859946,1977,"11",19,"Germany","510452","T. Feuerer, H. Hertel & E. Krach","ASU","Lkr. Weilheim, Alpenvorland, Paterzeller Eibenwald, südöstlich von Wessobrunn",NA,"Bavaria","GBIF",NA,76,"Opegrapha vermicellifera"
2237903141,"84d26682-f762-11e1-a439-00145eb45e9a",12.54132,54.97663,1976,"5",19,"Denmark","DMS-1037820","Mogens Skytte Christiansen",NA,"Møns Klint",NA,NA,"GBIF",NA,78,"Opegrapha vermicellifera"
2237907058,"84d26682-f762-11e1-a439-00145eb45e9a",12.550935,54.960172,1976,"5",18,"Denmark","DMS-1043259","Mogens Skytte Christiansen",NA,"Sandskredsfald, Møns Klint",NA,NA,"GBIF",NA,81,"Opegrapha vermicellifera"
2237910079,"84d26682-f762-11e1-a439-00145eb45e9a",9.750667,54.950635,1972,"2",12,"Denmark","DMS-1043440","Svanhildur Svane",NA,"Sandbjerg Gods",NA,NA,"GBIF",NA,82,"Opegrapha vermicellifera"
