"key","datasetKey","decimalLongitude","decimalLatitude","stateProvince","year","month","day","country","catalogNumber","recordedBy","institutionCode","locality","collectionCode","DB","BBarcode","b1test","name"
911958034,"828a3d8c-f762-11e1-a439-00145eb45e9a",15.196667,51.266667,NA,1902,"1",25,"Poland","12877",NA,"FR","Görlitzer Heide, Rothwasser, im Tschirnegebiet kurz nach dem Eintritt der Tschirne in das Heidegebiet","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,81,"Flavoparmelia caperata"
911958048,"828a3d8c-f762-11e1-a439-00145eb45e9a",15.7325,51.803883,NA,1902,NA,NA,"Poland","12271",NA,"FR","Neusalz an der Oder, im Oderwald","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,90,"Flavoparmelia caperata"
788545953,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",8.493056,47.595556,"Zürich",1901,"6",NA,"Switzerland","1303084","Y. Frymann","LD","Hüntwangen","General","GBIF",NA,89,"Flavoparmelia caperata"
911958011,"828a3d8c-f762-11e1-a439-00145eb45e9a",15.888883,51.1125,NA,1901,"7",19,"Poland","12275",NA,"FR","Niederschlesien, Bad Hermsdorf b. Goldberg","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,76,"Flavoparmelia caperata"
1099934147,"858c1c6c-f762-11e1-a439-00145eb45e9a",11.340555,47.997223,NA,1900,"4",28,"Germany","M-0044102 / 909 / 571","Arnold, F.C.G.","SNSB-M","Apfelbäume an der Straße beim Buchhof, Starnberg. München.","BSMlichfungicoll","GBIF",NA,80,"Flavoparmelia caperata"
911958041,"828a3d8c-f762-11e1-a439-00145eb45e9a",15.16805,51.223333,NA,1899,"10",18,"Poland","12879",NA,"FR","Görlitzer Heide, Rothwasser, Ob. Langenau, am Schulhaus","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,80,"Flavoparmelia caperata"
911958024,"828a3d8c-f762-11e1-a439-00145eb45e9a",15.1875,51.272783,NA,1899,NA,NA,"Poland","12880",NA,"FR","Görlitzer Heide, Revier Rothwasser, an der Kreuzung der Kammerwaldlinie x Graupe","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,81,"Flavoparmelia caperata"
788556701,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",7.986111,47.926111,"Baden-Württemberg",1897,NA,NA,"Germany","1313884","A. Lösch","LD","Zastler","General","GBIF",NA,82,"Flavoparmelia caperata"
1099934170,"858c1c6c-f762-11e1-a439-00145eb45e9a",11.573889,48.138889,NA,1896,"6",NA,"Germany","M-0044762 / 18886 / 12022","Arnold, F.C.G.","SNSB-M","auf I. carpata an Eichenzweigen im Forstenrieder Park","BSMlichfungicoll","GBIF",NA,80,"Flavoparmelia caperata"
788568256,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",7.945556,47.830556,"Baden-Württemberg",1890,"8",NA,"Germany","1325925","A. Lösch","LD","Todtnau","General","GBIF",NA,72,"Flavoparmelia caperata"
788546313,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",8.216667,53.136667,"Niedersachsen",1890,NA,NA,"Germany","1303444","Sandstede","LD","Oldenburg","General","GBIF",NA,87,"Flavoparmelia caperata"
788556942,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",20.588889,49.026111,"Presovsky kraj",1888,"5",NA,"Slovakia","1314124","V. Greschik","LD","Leutschau [Levoca]","General","GBIF",NA,66,"Flavoparmelia caperata"
788543428,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",11.580278,48.139167,"Bayern",1888,NA,NA,"Germany","1300549","F. Arnold","LD","München","General","GBIF",NA,80,"Flavoparmelia caperata"
788574821,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",12.137778,50.497222,"Sachsen",1887,"4",NA,"Germany","1332885","E. Bachmann","LD","Plauen","General","GBIF",NA,75,"Flavoparmelia caperata"
788558138,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",11.598056,50.953889,"Thüringen",1879,"4",3,"Germany","1315369","B. Jönsson","LD","Jena: Rautal","General","GBIF",NA,85,"Flavoparmelia caperata"
788543920,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",17.871389,50.576389,"Opolskie",1869,"11",NA,"Poland","1301047","B. Stein","LD","Prószków","General","GBIF",NA,83,"Flavoparmelia caperata"
1099934158,"858c1c6c-f762-11e1-a439-00145eb45e9a",8.469722,48.99889,NA,1859,NA,NA,"Germany","M-0044093 / 5456 / 3464",NA,"SNSB-M","Durlacher Wald","BSMlichfungicoll","GBIF",NA,100,"Flavoparmelia caperata"
