"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","catalogNumber","recordedBy","institutionCode","locality","collectionCode","stateProvince","DB","BBarcode","b1test","name"
2365720354,"85739778-f762-11e1-a439-00145eb45e9a",13.5833,53.1217,2019,"4",30,"Germany","201928","H. Sipman & D. Heinrich","B","GERMANY, Brandenburg: Uckermark, W of Ahrensdorf , E of Seehof. Alt. 60 m.","Lichen Herbarium Berlin",NA,"GBIF",NA,85,"Punctelia subrudecta"
2365720355,"85739778-f762-11e1-a439-00145eb45e9a",13.305,52.4517,2019,"6",12,"Germany","201976","H. Sipman","B","GERMANY, Berlin:  Botanischer Garten Berlin-Dahlem, Arboretum, Pyrus field. Alt. ca. 40 m.","Lichen Herbarium Berlin",NA,"GBIF",NA,91,"Punctelia subrudecta"
1946699725,"828a3d8c-f762-11e1-a439-00145eb45e9a",19.854717,48.178617,2018,"5",24,"Slovakia","54464-771",NA,"FR","omoka, um den Waldparkplatz","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,84,"Punctelia subrudecta"
1949725388,"828a3d8c-f762-11e1-a439-00145eb45e9a",18.440883,47.803417,2018,"5",21,"Slovakia","54334-771",NA,"FR","Búcs","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,105,"Punctelia subrudecta"
1949725389,"828a3d8c-f762-11e1-a439-00145eb45e9a",18.740833,47.832783,2018,"5",21,"Slovakia","54378-771",NA,"FR","über Garamkövesd","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,107,"Punctelia subrudecta"
2303272890,"828a3d8c-f762-11e1-a439-00145eb45e9a",24.187783,47.96305,2018,"7",19,"Ukraine","54684-771",NA,"FR","beim Mittelpunkt Europas","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,69,"Punctelia subrudecta"
1848984620,"858c1c6c-f762-11e1-a439-00145eb45e9a",8.706463,48.882392,2017,"12",5,"Germany","M-0290291 / 911650 / 469873","Dornes, A.P.","SNSB-M","DE, Baden-Württemberg, Schwarzwald-Randplatten: Pforzheim; Buckenberg, Kopernikusallee. In ca. 335 m. NN. MTB|Koor.: 7118/1 | 48.882392°, 08.706463°","BSMlichfungicoll",NA,"GBIF",NA,95,"Punctelia subrudecta"
1657195730,"fb8ae15d-e30c-44b4-8f61-0bb0c1d90ff9",14.27556,45.33528,2016,"4",5,"Croatia","000330131","Mayrhofer,Helmut & Prettner,Matthias","GZU","Primorsko-Goranska.Veprinac. neben Straße die vom asphaltiertem Sportplatz Richtung Zatka führt","Herbarium GZU",NA,"GBIF",NA,103,"Punctelia subrudecta"
1676072330,"828a3d8c-f762-11e1-a439-00145eb45e9a",7.06075,51.043667,2016,"6",26,"Germany","43404",NA,"FR","Leverkusen. Oulustraße","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,97,"Punctelia subrudecta"
1676072351,"828a3d8c-f762-11e1-a439-00145eb45e9a",7.059167,51.04255,2016,"6",26,"Germany","43561",NA,"FR","Leverkusen","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,97,"Punctelia subrudecta"
1676072352,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.525967,50.88555,2016,"6",11,"Czechia","43578",NA,"FR","bei Teichstatt","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,68,"Punctelia subrudecta"
2464717744,"f0ecd5eb-bc62-40fe-ab53-294cbb34a290",22.657056,48.207454,2016,"9",18,"Ukraine","CWU 202879","Alla Gromakova","CWU","near Berehove",NA,NA,"GBIF",NA,99,"Punctelia subrudecta"
2013146438,"7948250c-6958-4a29-a670-ed1015b26252",7.0063,50.9577,2016,"11",26,"Germany","205550","S. Rui, E. Timdal","O","Köln, Mulheim, near Märchenbrunnen","L","Nordrhein-Westfalen","GBIF",NA,100,"Punctelia subrudecta"
1836429507,"85739778-f762-11e1-a439-00145eb45e9a",5.31,52.1517,2016,"12",27,"Netherlands","195610","H. Sipman & A. Aptroot","B","THE NETHERLANDS, Utrecht: Soest, nature reserve Korte Duinen, afforestation in former Zonnegloren area. Alt. 10 m.","Lichen Herbarium Berlin",NA,"GBIF",NA,92,"Punctelia subrudecta"
1676071657,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.294635,50.156017,2015,"1",9,"Germany","221516",NA,"FR","Hoher Taunus, das Theißtal westl. von Niedernhausen, Feldkreuz bei den Fischteichen","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,86,"Punctelia subrudecta"
1099343026,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.477783,51.403617,2015,"4",8,"Germany","39341",NA,"FR","bei Bärwalde","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,88,"Punctelia subrudecta"
1233566551,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.17555,50.008617,2015,"10",21,"Germany","40966",NA,"FR","bei Mainz, Schloß Waldhausen","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,96,"Punctelia subrudecta"
1676071482,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.637194,49.638333,2014,"4",12,"Germany","217255",NA,"FR","Heppenheim, In den langen Äckern, Untersuchungegebiet 1, Aufnahmebaum 3","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,97,"Punctelia subrudecta"
