"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","catalogNumber","recordedBy","institutionCode","locality","collectionCode","stateProvince","DB","BBarcode","b1test","name"
2013824339,"828a3d8c-f762-11e1-a439-00145eb45e9a",19.95555,48.21805,2018,"5",23,"Slovakia","54450-771",NA,"FR","Pirsenstein (Hajnácka), Burgberg","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,92,"Diploicia canescens"
1675761138,"828a3d8c-f762-11e1-a439-00145eb45e9a",7.272217,50.168617,2016,"6",25,"Germany","43382",NA,"FR","Pommern an der Mosel","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,91,"Diploicia canescens"
788472325,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",8.011944,53.544444,2006,"11",NA,"Germany","1226506","Uwe de Bruyn","LD","Accum","General","Niedersachsen","GBIF",NA,87,"Diploicia canescens"
788472384,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",8.046667,53.592222,2006,"11",NA,"Germany","1226566","Uwe de Bruyn","LD","Sengwarden","General","Niedersachsen","GBIF",NA,87,"Diploicia canescens"
1212094716,"85739778-f762-11e1-a439-00145eb45e9a",6.6233,50.2217,2005,"5",5,"Germany","67735","H. Sipman","B","GERMANY, Rheinland-Pfalz, Kr. Daun: Wöllersberg, N of Lissingen near Gerolstein. Alt. c. 400 m.","Lichen Herbarium Berlin",NA,"GBIF",NA,76,"Diploicia canescens"
991956574,"828a3d8c-f762-11e1-a439-00145eb45e9a",7.221383,53.414167,2004,"10",23,"Germany","22271",NA,"FR","Suurhusen, bei der Kirche","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,89,"Diploicia canescens"
1675760900,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.129167,49.355,1999,"5",15,"Germany","67286",NA,"FR","Haardt, The Wolfsberg northwest near Neustadt a. d. Weinstraße, southeastslope, (abandoned) vineyard","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,96,"Diploicia canescens"
1212098084,"85739778-f762-11e1-a439-00145eb45e9a",16.3833,47.3167,1991,"4",11,"Austria","138241","J. Hafellner & W. Maurer","B","AUSTRIA, Burgenland, Günser Gebirge, 5 km WNW Rechnitz, vineyard S of Althodis. Alt. 440 m.","Lichen Herbarium Berlin",NA,"GBIF",NA,82,"Diploicia canescens"
2513315605,"15f819bd-6612-4447-854b-14d12ee1022d",5.12,52.09,1988,"1",30,"Netherlands","L  0829585","Bakker S",NA,"Lepelenburg, Utrecht.","Botany","Utrecht","GBIF",NA,93,"Diploicia canescens"
2237883463,"84d26682-f762-11e1-a439-00145eb45e9a",9.954466,54.96565,1979,"8",19,"Denmark","DMS-1019658","Knud Ramkær",NA,"Asserballe",NA,NA,"GBIF",NA,81,"Diploicia canescens"
2237876981,"84d26682-f762-11e1-a439-00145eb45e9a",11.60039,54.72227,1977,"7",23,"Denmark","DMS-1013974","Mogens Skytte Christiansen",NA,"Godsted",NA,NA,"GBIF",NA,81,"Diploicia canescens"
2237907306,"84d26682-f762-11e1-a439-00145eb45e9a",9.750667,54.950635,1972,"2",12,"Denmark","DMS-1043427","Svanhildur Svane",NA,"Sandbjerg Gods",NA,NA,"GBIF",NA,82,"Diploicia canescens"
