"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","catalogNumber","recordedBy","institutionCode","locality","collectionCode","stateProvince","DB","BBarcode","b1test","name"
442147637,"8589cc8c-f762-11e1-a439-00145eb45e9a",11.104445,50.703335,1909,"4",9,"Germany","B 60 0030092 / 151642 / 92299","Lettau, G.","B","Thüringen:  1) Ruine Paulinzella, 380 m.","Blettaucoll",NA,"GBIF",NA,74,"Punctelia subrudecta"
442147638,"8589cc8c-f762-11e1-a439-00145eb45e9a",11.265,50.685833,1909,"5",2,"Germany","B 60 0030092a / 151644 / 92300","Lettau, G.","B","Thüringen: 2) Werrasitz oberhalb Blankenburg, 350? m.","Blettaucoll",NA,"GBIF",NA,79,"Punctelia subrudecta"
442147636,"8589cc8c-f762-11e1-a439-00145eb45e9a",8.690278,49.350555,1903,"6",28,"Germany","B 60 0030091 / 151640 / 92298","Lettau, G.","B","Baden: Oberhalb Leimen bei Heidelberg, 300 m.","Blettaucoll",NA,"GBIF",NA,102,"Punctelia subrudecta"
234011008,"905daf20-04fd-11df-8c28-b8a03c50a862",9.04937,48.54851,1902,NA,NA,"Germany","40830","A. Wälde","UME",NA,"General",NA,"GBIF",NA,86,"Punctelia subrudecta"
914864425,"828a3d8c-f762-11e1-a439-00145eb45e9a",24.05,46.133333,1899,"4",4,"Romania","24781",NA,"FR","Transsylvania, Langenthal","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,91,"Punctelia subrudecta"
NA,NA,12.174718,53.149468,1893,"12.1893",NA,"Deutschland",NA,"Jaap","BERLIN_HTL","Pritzwalk",NA,NA,"BERLIN_HTL",NA,84,"Punctelia subrudecta"
788604286,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",22.93998,45.74631,1883,"8",17,"Romania","1363008","J. Barth","LD","No locality information available","General","Hunedoara","GBIF",NA,99,"Punctelia subrudecta"
788549186,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",14.307778,46.623611,1881,"7",NA,"Austria","1306323","Arnold","LD","Klagenfurt","General","Kärnten","GBIF",NA,79,"Punctelia subrudecta"
788553834,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",11.598056,50.953889,1879,"4",3,"Germany","1310989","B. Jönsson","LD","Jena: Rautal","General","Thüringen","GBIF",NA,85,"Punctelia subrudecta"
788549304,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",13.045833,47.8025,1872,NA,NA,"Austria","1306443","A. Minks","LD","Salzburg","General","Salzburg","GBIF",NA,88,"Punctelia subrudecta"
788549246,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",17.871389,50.576389,1869,"11",NA,"Poland","1306383","B. Stein","LD","Prószków","General","Opolskie","GBIF",NA,83,"Punctelia subrudecta"
788549006,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",8.818611,51.7825,1868,"7",NA,"Germany","1306143","K. Beckhaus","LD","Bad Lippspringe","General","Nordrhein-Westfalen","GBIF",NA,90,"Punctelia subrudecta"
