"key","datasetKey","decimalLongitude","decimalLatitude","stateProvince","year","month","day","country","catalogNumber","recordedBy","institutionCode","locality","collectionCode","DB","BBarcode","b1test","name"
1262181116,"85739778-f762-11e1-a439-00145eb45e9a",14.0717,52.5783,NA,2016,"1",16,"Germany","193972","H. Sipman & A. Aptroot","B","GERMANY, Brandenburg: E of Strausberg, along Stöber rivulet N of Buckow. Alt. 45 m.","Lichen Herbarium Berlin","GBIF",NA,90,"Arthonia ruana"
NA,NA,8.96012,53.462403,NA,2008,"6-Apr",NA,"GERMANY","103389","H. Sipman","BERLIN_DB","DEUTSCHLAND, Niedersachsen: Landkr. Cuxhaven. Malse forest, FFH area, outside NSG area, NW of Basdahl, S of Hipstedt. MTB 2519/2B3. Elev. 25 m.",NA,"BERLIN_DB","B 60 0163658",84,"Arthonia ruana"
NA,NA,9.005089,53.42196,NA,2008,"4-Apr",NA,"GERMANY","103359","H. Sipman","BERLIN_DB","DEUTSCHLAND, Niedersachsen: Landkr. Landkreis Rotenburg (Wümme). Franzhorn forest N of Brillit, Naturwald area. MTB 2520/3B1. Elev. 20-40 m",NA,"BERLIN_DB","B 60 0163628",85,"Arthonia ruana"
NA,NA,13.44944,54.0815,NA,2005,"18-Mar",NA,"GERMANY","109228","A. Aptroot","BERLIN_DB","DEUTSCHLAND, Mecklenburg-Vorpommern: Greifswald, Eldena forest.",NA,"BERLIN_DB","B 60 0173944",82,"Arthonia ruana"
2237882182,"84d26682-f762-11e1-a439-00145eb45e9a",10.68546,54.72797,NA,1991,"5",12,"Denmark","DMS-1019473","Svanhildur Svane",NA,"Gulstav Vesterskov",NA,"GBIF",NA,82,"Arthonia ruana"
NA,NA,13.045332,47.689515,NA,1989,"17. sept.",NA,"GERMANY","38715","H. Sipman","BERLIN_DB","GERMANY, BAYERN. Berchtesgaden, Marktschellenberg. Alt. 500 m. Along trail to Salzburger Hochthron, near the valley botton close to the main road. Mixed forest on E-facing slope. On Fagus root.",NA,"BERLIN_DB","",77,"Arthonia ruana"
NA,NA,12.819813,47.67829,NA,1989,"15. sept.",NA,"GERMANY","38648","H. Sipman","BERLIN_DB","GERMANY, BAYERN. Berchtesgaden. Unterjettenberg. Alt. 550 m. Near margin of old deciduous forest on mountain slope with pasturefields. On Corylus.",NA,"BERLIN_DB","",72,"Arthonia ruana"
NA,NA,7.460112,53.405455,NA,1986,"9-May",NA,"GERMANY","18973","Hans-Wilhelm LINDERS","BERLIN_DB","DEUTSCHLAND, Niedersachsen: Ihlower Forst, Abt. 5. An Fraxinus (Baumstupf).",NA,"BERLIN_DB","",88,"Arthonia ruana"
2237877308,"84d26682-f762-11e1-a439-00145eb45e9a",11.35874,54.78336,NA,1977,"7",24,"Denmark","DMS-1014249","Mogens Skytte Christiansen",NA,"Kristianssæde Skov",NA,"GBIF",NA,82,"Arthonia ruana"
2237877835,"84d26682-f762-11e1-a439-00145eb45e9a",11.81932,54.67871,NA,1976,"5",20,"Denmark","DMS-1013948","Mogens Skytte Christiansen",NA,"Roden Skov",NA,"GBIF",NA,81,"Arthonia ruana"
