"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","catalogNumber","recordedBy","institutionCode","locality","collectionCode","stateProvince","DB","BBarcode","b1test","name"
NA,NA,13.844849,53.157172,2001,"24-Apr",NA,"GERMANY","60974","H. Sipman","BERLIN_DB","GERMANY, Brandenburg, Landkr. Uckermark. Suckow, former estate. Alt. c. 50 m.",NA,NA,"BERLIN_DB","",87,"Pyrenula nitida"
NA,NA,11.828097,53.927535,1999,"15-May",NA,"GERMANY","56426","H. Sipman","BERLIN_DB","DEUTSCHLAND, Mecklenburg-Vorpommern: Kr. Güstrow, NW of Groß Gischow, along Seebach river. Alt. c. 30 m.",NA,NA,"BERLIN_DB","",82,"Pyrenula nitida"
1212198083,"85739778-f762-11e1-a439-00145eb45e9a",20.5167,47.9667,1998,"8",2,"Hungary","56078","H. Sipman","B","HUNGARY, Bükk mountains. Kom. Borsod-Abaúj-Zemplén, Hór valley, surroundings of Oszla, ca. 4 km N of Cserépfalu, DU 61, alt. 220-270 m.","Lichen Herbarium Berlin",NA,"GBIF",NA,84,"Pyrenula nitida"
152948878,"89579e3e-f762-11e1-a439-00145eb45e9a",14.411995,45.599739,1998,"10",23,"Slovenia","F1020322","Pruegger J., Surina B.","ULBF-AGR","Snežnik","FloVegSI-FLO","Notranjska","GBIF",NA,63,"Pyrenula nitida"
152949350,"89579e3e-f762-11e1-a439-00145eb45e9a",13.745368,46.19964,1997,"6",5,"Slovenia","F779704","Primožič K.","ULBF-AGR",NA,"FloVegSI-FLO",NA,"GBIF",NA,111,"Pyrenula nitida"
152949357,"89579e3e-f762-11e1-a439-00145eb45e9a",13.912003,46.299635,1997,"6",10,"Slovenia","F780076","Primožič K.","ULBF-AGR",NA,"FloVegSI-FLO",NA,"GBIF",NA,69,"Pyrenula nitida"
152948873,"89579e3e-f762-11e1-a439-00145eb45e9a",14.411987,45.699727,1997,"8",14,"Slovenia","F1020317","Pruegger J.","ULBF-AGR","Snežnik","FloVegSI-FLO","Notranjska","GBIF",NA,70,"Pyrenula nitida"
1851923118,"c711c16e-8db5-4f66-aa06-03d9e472fbbc",10.162772,47.358334,1997,"9",17,"Austria","MB-002269 / 743460 / 387775","Rexer, K.-H. (no. KR 7354)","MB","Österreich, Vorarlberg, Kleinwalsertal, Rietzlern","MBcoll",NA,"GBIF",NA,40,"Pyrenula nitida"
152948875,"89579e3e-f762-11e1-a439-00145eb45e9a",14.411978,45.799715,1997,"10",5,"Slovenia","F1020319","Pruegger J., Suppan U., Mayrhofer H., Batič F.","ULBF-AGR","Cerkniško jezero","FloVegSI-FLO","Notranjska","GBIF",NA,88,"Pyrenula nitida"
152949722,"89579e3e-f762-11e1-a439-00145eb45e9a",15.411775,46.599662,1996,"6",11,"Slovenia","F967385","Mayrhofer H., Belec Z., Suanjak M.","ULBF-AGR","Pohorje","FloVegSI-FLO","Štajerska","GBIF",NA,71,"Pyrenula nitida"
