"key","datasetKey","decimalLongitude","decimalLatitude","stateProvince","year","month","day","country","catalogNumber","recordedBy","institutionCode","locality","collectionCode","DB"
1675764043,"828a3d8c-f762-11e1-a439-00145eb45e9a",6.79,47.810417,NA,2016,9,17,"France","49255-771",NA,"FR","St. Antoine, Waldreservat","Herbarium Senckenbergianum (FR) - Fungi","GBIF"
1675763886,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.294635,50.156017,NA,2015,1,9,"Germany","221522",NA,"FR","Hoher Taunus, das Theißtal westl. von Niedernhausen, Feldkreuz bei den Fischteichen","Herbarium Senckenbergianum (FR) - Fungi","GBIF"
1872037515,"aec6d756-3aa8-465e-83fd-4f6ee83e693e",6.636299,50.215826,"Rheinland-Pfalz",2005,5,5,"Germany","C1017697F","A. Aptroot","F","Gerolstein, Rheinland-Pfalz, Eifel, Kreis Daun, Gerolstein, Lissingen, Wollersberg","Botany","GBIF"
1675763901,"828a3d8c-f762-11e1-a439-00145eb45e9a",7.706111,47.802222,NA,2002,12,23,"Germany","262483",NA,"FR","Südschwarzwald, The Altensteintal south near Schweighof east of Badenweiler, lower valley","Herbarium Senckenbergianum (FR) - Fungi","GBIF"
19997132,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",13.95,47.7333,"Upper austria",1998,5,31,"Austria","66300","Tønsberg, T.","BG","Totes Gebirge, Lake Almsee SSE, along the brooks","L","GBIF"
