"Taxon","AUC_mean","AUC_sd","meanProb_mean","meanProb_sd","meanBG_mean","meanBG_sd","Thresh95_mean","Thresh95_sd"
"Diploicia_canescens",0.821253,0.0700737610286038,0.564252764590085,0.170290857722203,0.239363469382346,0.0488946786335682,0.246571037955582,0.148240919751049
"Flavoparmelia_caperata",0.713215,0.0498946050811956,0.604538409212096,0.0351627941969195,0.480335481910137,0.0292792477975711,0.366999579071999,0.0923224896797789
"Hypotrachyna_afrorevoluta",0.715058,0.0776629079438491,0.623278278708458,0.0345528829499517,0.545848613045126,0.0427444535535657,0.56768327653408,0.0621589413770586
"Hypotrachyna_revoluta",0.657598375,0.072541535162117,0.59835373940412,0.0756764325744803,0.478433447245857,0.0440240569099863,0.257719187028706,0.142364621047798
"Melanohalea_elegantula",0.852409,0.0462175520434978,0.660866463631392,0.0925214620698307,0.319506897204868,0.0372069377357015,0.348108145296574,0.123954472586282
"Melanohalea_laciniatula",0.92031975,0.0342124691575249,0.653260462228209,0.134651974993349,0.158659730737678,0.0186846681360069,0.282936850041151,0.138413190839013
"Opegrapha_vermicellifera",0.94666575,0.0448246507670758,0.75681692969054,0.156345989950696,0.145582380756318,0.0223307527662698,0.462950822561979,0.321018719720904
"Parmelina_quercina",0.73416575,0.0890231694685835,0.616483703758568,0.106069130866575,0.413434998169083,0.0508477548874019,0.262888695448637,0.124353021087023
"Parmelia_submontana",0.705247,0.12388918049654,0.615480837126573,0.0614081187110141,0.546953740191158,0.0484670574449152,0.534249388277531,0.0987868868757664
"Parmotrema_perlatum",0.76862325,0.0779551947292023,0.631397657692432,0.0708664891265434,0.443201607874943,0.0351015756679871,0.503986710309982,0.114253559641904
"Pertusaria_hymenea",0.874823,0.0965384967148297,0.589347333591431,0.207029553552906,0.18304705726343,0.0286394442396181,0.320150927901268,0.212156985085929
"Punctelia_jeckeri",0.7209478,0.0621988056283385,0.57766117566824,0.073565804439799,0.425366873683223,0.0392856160207855,0.361039583683014,0.144314306403634
"Punctelia_subrudecta",0.700959,0.063226469973251,0.628271402021249,0.0714693314410954,0.469307807185651,0.0410643356676561,0.303772692978382,0.167824376956637
"Pyrenula_nitida",0.832222666666667,0.0497307150785329,0.56064116862913,0.117217382865331,0.226111791881365,0.0328369098782904,0.191974847838283,0.105980344433637
"Pyrenula_nitidella",0.711152666666667,0.0768023537792413,0.660395040313403,0.0464387019463081,0.566590430889762,0.0348859482731523,0.582788163423538,0.107213908300082
"Thelotrema_lepadinum",0.830121,0.0681265078936076,0.644813436654707,0.128865242088372,0.274360732122534,0.0301861686287106,0.285007219985127,0.180152893925057
"Usnea_florida",0.808522875,0.0489093941271075,0.615343782372074,0.0711446718518098,0.314249004464359,0.0330888174046914,0.267406185083091,0.131304587296495
