"key","datasetKey","decimalLongitude","decimalLatitude","stateProvince","year","month","day","country","catalogNumber","recordedBy","institutionCode","locality","collectionCode","DB","BBarcode"
1946699652,"828a3d8c-f762-11e1-a439-00145eb45e9a",19.854717,48.178617,NA,2018,"5",24,"Slovakia","54465-771",NA,"FR","omoka, um den Waldparkplatz","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA
1946699653,"828a3d8c-f762-11e1-a439-00145eb45e9a",20.46555,48.48,NA,2018,"5",25,"Slovakia","54605-771",NA,"FR","nördlich der Straße Gömörhosszúszó - Aggtelek","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA
2303272888,"828a3d8c-f762-11e1-a439-00145eb45e9a",24.12255,47.943633,NA,2018,"7",20,"Ukraine","54724-771",NA,"FR","Talhang über dem Bache Kuzij","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA
2303272889,"828a3d8c-f762-11e1-a439-00145eb45e9a",24.187783,47.96305,NA,2018,"7",19,"Ukraine","54685-771",NA,"FR","beim Mittelpunkt Europas","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA
1945781923,"828a3d8c-f762-11e1-a439-00145eb45e9a",10.22,47.559717,NA,2018,"8",23,"Germany","54738-771",NA,"FR","Immenstadt, neben der Friedhofsmauer","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA
1851035993,"828a3d8c-f762-11e1-a439-00145eb45e9a",20.16805,49.476533,NA,2017,"12",9,"Poland","50773-771",NA,"FR","Harklowa, bei der Kirche","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA
1676072332,"828a3d8c-f762-11e1-a439-00145eb45e9a",7.2725,50.1688,NA,2016,"6",25,"Germany","43385",NA,"FR","Pommern an der Mosel","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA
1500366634,"bf2a4bf0-5f31-11de-b67e-b8a03c50a862",14.424444,47.053056,NA,2016,"8",20,"Austria","E00817861","Obermayer, Walter","E","Steiermark (=Styria), Eastern Alps, Gurktal Alps","E","GBIF",NA
1836429649,"85739778-f762-11e1-a439-00145eb45e9a",13.295,53.1417,NA,2016,"10",14,"Germany","195527","H. Sipman & D. Heinrich","B","DEUTSCHLAND, Brandenburg, Landkreis Oberhavel: NW of Templin, NNW of Regowschleuse, Havel valley. Alt. 60 m.","Lichen Herbarium Berlin","GBIF",NA
1233566542,"828a3d8c-f762-11e1-a439-00145eb45e9a",15.886133,50.930383,NA,2014,"6",13,"Poland","40957",NA,"FR","Kammerswaldau, NW-Seite des Galgenberges","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA
1262183055,"85739778-f762-11e1-a439-00145eb45e9a",10.6473,47.781,NA,2014,"8",9,"Germany","193561","Walter Obermayer","B","GERMANY, Bayern (=Bavaria), Schwaben (=Swabia), Alpenvorland, 2.2 km east of the centre of Marktoberdorf. Alt. 770 m.","Lichen Herbarium Berlin","GBIF",NA
1676071619,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.5775,50.080367,NA,2014,"11",26,"Germany","221332",NA,"FR","Frankfurt, Schwanheimer Wald","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA
