"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","locality","catalogNumber","recordedBy","stateProvince","institutionCode","collectionCode","DB","BBarcode"
788550979,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",21.22132,49.12644,1962,"7",20,"Slovakia","No locality information available","1308127","I. Pisút","Presovsky kraj","LD","General","GBIF",NA
2449365630,"85739778-f762-11e1-a439-00145eb45e9a",8.1833,48.65,1961,"4",6,"Germany","GERMANY, Baden-Württemberg: Nordschwarzwald, Schönbrunn bei Neusatzeck.","178777","H. Reznik",NA,"B","Lichen Herbarium Berlin","GBIF",NA
788550919,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",11.49935,47.19516,1960,"9",21,"Austria","No locality information available","1308067","M. Steiner","Tirol","LD","General","GBIF",NA
911978937,"828a3d8c-f762-11e1-a439-00145eb45e9a",12.185833,47.231117,1959,"8",5,"Austria","Hohe Tauern, Krimml, am Wege zum Falkenstein","3953",NA,NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA
1632918685,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",11.42322,48.9469,1959,NA,NA,"Germany","No locality information available","1905747","E. Putzler","Bayern","LD","General","GBIF",NA
788545478,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",22.22597,49.96282,1958,"9",20,"Poland","No locality information available","1302607","K. Glanc","Podkarpackie","LD","General","GBIF",NA
911978910,"828a3d8c-f762-11e1-a439-00145eb45e9a",22.666667,49.1375,1958,"9",20,"Poland","Bieszczady Zachodnie, prope rivulum Wolosaty in vico Berezki","3952",NA,NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA
911978915,"828a3d8c-f762-11e1-a439-00145eb45e9a",10.575,47.60305,1954,"5",1,"Germany","Allgäu, Pfronten, w Zell, 1/2 m über den Boden","3956",NA,NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA
911979138,"828a3d8c-f762-11e1-a439-00145eb45e9a",10.579167,47.60195,1954,"5",1,"Germany","Allgäu, Pfronten, w Zell, 1/2 m über den Boden","19790",NA,NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA
NA,NA,10.5,47.466667,1953,"1.5.1953",NA,NA,"Austria, Tyrol, Ausserfern, Vilstal near Rehbach","M-0302880","A. Schröppel",NA,"MUNICH_HTL",NA,"MUNICH_HTL",NA
911978902,"828a3d8c-f762-11e1-a439-00145eb45e9a",10.73555,47.633883,1952,NA,NA,"Germany","Allgäu, Dietringen","3957",NA,NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA
788552712,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",7.528333,46.977778,1949,"5",22,"Switzerland","Bantiger","1309867","Ove Almborn","Bern","LD","General","GBIF",NA
788552772,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",8.491944,47.349444,1949,"5",19,"Switzerland","Uetliberg","1309927","Ove Almborn","Zürich","LD","General","GBIF",NA
