"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","locality","catalogNumber","recordedBy","institutionCode","collectionCode","stateProvince","DB","BBarcode","b1test","name"
442144886,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.947222,47.831665,1916,"6",25,"Germany","Schwarzwald: Todtnau - Aftersteg","B 60 0111806 / 148136 / 90971","Lettau, G.","B","Blettaucoll",NA,"GBIF",NA,72,"Melanohalea laciniatula"
442144887,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.968333,47.779724,1916,"7",16,"Germany","Schwarzwald: Präg - Herrenschwand (bei Schönau)","B 60 0111843 / 147788 / 90859","Lettau, G.","B","Blettaucoll",NA,"GBIF",NA,64,"Melanohalea laciniatula"
442145621,"8589cc8c-f762-11e1-a439-00145eb45e9a",8.034722,47.802776,1916,"8",12,"Germany","Schwarzwald: Bernau, gegen die ""Wacht""","B 60 0030930 / 145937 / 90133","Lettau, G.","B","Blettaucoll",NA,"GBIF",NA,58,"Melanohalea laciniatula"
442144872,"8589cc8c-f762-11e1-a439-00145eb45e9a",10.900278,50.499722,1915,"8",9,"Germany","Thüringer Wald: 2) Schnett","B 60 0030933a / 149935 / 91617","Lettau, G.","B","Blettaucoll",NA,"GBIF",NA,66,"Melanohalea laciniatula"
442144873,"8589cc8c-f762-11e1-a439-00145eb45e9a",10.726666,50.705833,1915,"8",28,"Germany","Thüringer Wald: 2) Oberhof gegen Rondel","B 60 0030934a / 149937 / 91618","Lettau, G.","B","Blettaucoll",NA,"GBIF",NA,56,"Melanohalea laciniatula"
442145624,"8589cc8c-f762-11e1-a439-00145eb45e9a",10.935278,50.583057,1915,"8",9,"Germany","Thüringer Wald: 1) Kahlert","B 60 0030933 / 145934 / 90132","Lettau, G.","B","Blettaucoll",NA,"GBIF",NA,60,"Melanohalea laciniatula"
NA,NA,10.727163,50.704353,1915,"14.7.1915",NA,"Deutschland","Oberhof",NA,"J. Hillmann","BERLIN_HTL",NA,NA,"BERLIN_HTL",NA,56,"Melanohalea laciniatula"
442145619,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.953333,47.768612,1914,"7",5,"Germany","Schwarzwald: Herrenschwand bei Schönau, ca. 1050 m.","B 60 0030928 / 145932 / 90131","Lettau, G.","B","Blettaucoll",NA,"GBIF",NA,63,"Melanohalea laciniatula"
442145616,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.956111,47.649445,1913,"10",19,"Germany","Schwarzwald: Atdorf bei Wehr","B 60 0030924 / 145919 / 90127","Lettau, G.","B","Blettaucoll",NA,"GBIF",NA,75,"Melanohalea laciniatula"
442145620,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.9175,47.858334,1913,"10",12,"Germany","Schwarzwald: Nördlich Muggenbrunn","B 60 0030928a / 149929 / 91615","Lettau, G.","B","Blettaucoll",NA,"GBIF",NA,58,"Melanohalea laciniatula"
442144850,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.914166,47.827778,1912,"5",27,"Germany","[Schwarzwald] Baden: Knöpflesbrunnen bei Todtnau","B 60 0030131 / 145872 / 90109","Lettau, G.","B","Blettaucoll",NA,"GBIF",NA,72,"Melanohalea laciniatula"
442145623,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.941389,47.851665,1912,"6",23,"Germany","[Schwarzwald] Baden: Oberhalb Todtnauberg (unweit ""Radschert"")","B 60 0030931a / 149931 / 91616","Lettau, G.","B","Blettaucoll",NA,"GBIF",NA,58,"Melanohalea laciniatula"
442145625,"8589cc8c-f762-11e1-a439-00145eb45e9a",10.612223,50.716389,1909,"5",23,"Germany","Thüringer Wald: 1) Zwischen Mehlis und Oberschönau","B 60 0030934 / 145928 / 90130","Lettau, G.","B","Blettaucoll",NA,"GBIF",NA,61,"Melanohalea laciniatula"
442144874,"8589cc8c-f762-11e1-a439-00145eb45e9a",8.053611,47.859444,1903,"6",1,"Germany","Badischer Schwarzwald: Unweit Zastlerhütte, (beim Feldberg), 1260 m.","B 60 0030936 / 145942 / 90135","Lettau, G.","B","Blettaucoll",NA,"GBIF",NA,57,"Melanohalea laciniatula"
