Genus,Species,Country,Region,Locality,,,Habitat,,Datum,Year,Collector,,decimalLatitude,decimalLongitude,MPN_Notes,,,Status
Parmotrema,perlatum,Deutschland,Bayern,Eilzee,,,,950m,1897,1897,Vayhinger,,,,Cannot find Eilzee,,,Drop
Parmotrema,perlatum,Deutschland,Baden-Württemberg,Zastler,,,,800m,1903,1903,A. Lösch,,47.917493,7.991396,,,,Keep
Parmotrema,perlatum,Polen,Bieszczady Zachodnie,Puszcza Bukowa,,,,810m,10.8.1956,1956,K. Glanc,,53.335089,14.686908,"Could not find with GeoLocate, so found on Wikipedia with Lat Long",,,Keep
Pertusaria,hymenea,Deutschland,Nordrhein-Westfalen,,,,,,1859,1859,C. Beckhaus,,51.5,7,,,,Keep
Pertusaria,hymenea,Deutschland,Nordrhein-Westfalen,Büren,,,,,4.1863,1863,Lahm,,51.551091,8.559562,,,,Keep
Pertusaria,hymenea,Deutschland,Schleswig-Holstein,Scharbeutz,,,on Fraxinus,,9.6.1935,1935,Erichsen,,54.02762,10.755049,,,,Keep
Pertusaria,hymenea,Deutschland,Nordrhein-Westfalen,Wolbecker Tiergarten,,,,,1863,1863,Nitschke,,51.910741,7.745211,Placed marker at Wolbecker Tiergarten,,,Keep
Pertusaria,hymenea,Deutschland,Baden-Württemberg,Heidelberg,,,,,,,Ahles,,49.404123,8.683733,,,,Keep
Pertusaria,trachythallina,Deutschland,Baden-Württemberg,Heidelberg,,,,,1857,1857,von Zwackh,,49.404123,8.683733,,,,Keep
Pertusaria,trachythallina,Deutschland,Bayern,München,,,,,1879,1879,Arnold,,48.15,11.583333,,,,Keep
Pertusaria,trachythallina,Deutschland,Bayern,Eichstätt,,,,,1868,1868,Arnold,,48.888543,11.196753,,,,Keep
Pertusaria,trachythallina,Deutschland,Nordrhein-Westfalen,Büren,,,,,7.186,,Lahm,,51.551091,8.559562,,,,Keep
Flavoparmelia,caperata,Czech Republic,,"Altvatergebirge, Arnoldsdorf",,,,,29.7.1921,1921,V. Grummann,,,,Varnsdorf? But Varnsdorf is not really near Altvatergebirge,,,Drop
Flavoparmelia,caperata,Deutschland,Baden-Württemberg,Tübingen,,,,,15.11.1964,1964,W.U. Berthold,,48.533333,9.05,,,,Keep
Flavoparmelia,caperata,Deutschland,Bayern,Rosenheim,,,,,,,Arnold,,47.857316,12.11925,,,,Keep
Flavoparmelia,caperata,Deutschland,,"Odenwald, Baden",,,,,7.8.1948,1948,O. Behr,,,,"Tough to figure out WHERE exactly the Odenwald region of Baden-Burttemberg is.; Also, most likely already in BerlinDB entered as 28 Nov 1948",,,Drop
Flavoparmelia,caperata,Deutschland,Hessen,Lorch am Rhein,,,,,,,Bayrhoffer,,48.799788,9.689979,,,,Keep
Flavoparmelia,caperata,Deutschland,Baden-Württemberg,Heidelberg,,,,,,,Voigtländer,,49.404123,8.683733,,,,Keep
Flavoparmelia,caperata,Deutschland,Thüringen,Siegelbach,,,,,5.11.1908,1908,G. Lettau,,50.802356,10.933231,Already in GBIF,,,Drop
Flavoparmelia,caperata,Deutschland,Baden-Württemberg,Heidelberg,,,,,8.1922,1922,Voigtländer,,49.404123,8.683733,,,,Keep
Flavoparmelia,caperata,Deutschland,Sachsen,Radibor,,,,,11.1927,1927,Stolle & Winter',,51.244372,14.397734,"Already in BerlinDB, collector name not there, but same date and location",,,Drop
Usnea,florida,Deutschland,Rheinland-Pfalz,"Eifel, Daun",,,,,8.1936,1936,Baschant,,50.197155,6.829418,,,,Keep
Hypotrachyna,revoluta,Deutschland,Bayern,Partenkirchen,,,,,8.1904,1904,Zopf,,47.5,11.11666,,,,Keep
Hypotrachyna,revoluta,Deutschland,Baden-Württemberg,Heidelberg,,,,,21.5.1903,1903,G. Lettau,,49.404123,8.683733,,,,Keep
Hypotrachyna,revoluta,Polen?,,Hirschberg,,,,,,,Körber,,50.5412,15.444,,,,Keep
Hypotrachyna,revoluta,Deutschland,Bayern,München,,,,,14.9.1892,1892,Arnold,,48.15,11.583333,Seems like in GBIF - a couple of Sauerlach collections from Arnold on same day.  Drop,,,Drop
Hypotrachyna,revoluta,Deutschland,Nordrhein-Westfalen,Bad Lippspringe,,,,,3.1865,1865,Beckhaus,,51.783327,8.816827,,,,Keep
Hypotrachyna,revoluta,Deutschland,Hessen,"Kr. Erbach, Steinbuch",,,,,28.11.1948,1948,O. Behr,,,,?Between Steinbuch and Dorf Erbach?,,,Drop
Hypotrachyna,revoluta,Deutschland,Bayern,"Allgäu, Tiefenberger Moos bei Sonthofen",,,,,13.7.1918,1918,G. Lettau,,47.48486,10.254592,Placed at Tiefenberger Moos Nature Preserve,,,Keep
Hypotrachyna,revoluta,Deutschland,Hessen,Lorch am Rhein,,,,,6.1922,1922,G. Lettau,,48.799788,9.689979,,,,Keep
Hypotrachyna,revoluta,Deutschland,Baden-Württemberg,Heidelberg,,,,,,,Reddig,,49.404123,8.683733,,,,Keep
Melanohalea,laciniatula,Deutschland,Hessen,Schlitz,,,,,10.1961,1961,W.U. Berthold,,50.67471,9.561385,,,,Keep
Melanohalea,laciniatula,Deutschland,Baden-Württemberg,Freudenstadt,,,,,26.7.1969,1969,H. Schindler,,48.466951,8.41371,,,,Keep
Melanohalea,laciniatula,Deutschland,Thüringen,Oberhof,,,,,14.7.1915,1915,J. Hillmann,,50.704353,10.727163,,,,Keep
Melanohalea,laciniatula,Deutschland,Thüringen,Abtsroda,,,,600m,6.1922,1922,G. Lettau,,50.508277,9.923903,,,,Keep
Melanohalea,laciniatula,Schweden,Skåne,"Torrlösa, Trolleholm",,,,,14.6.1939,1939,Almborn,,55.9,13.25,,,,Keep
Melanohalea,laciniatula,Schweden,Skåne,Gudmuntorp,,,,,24.2.1934,1934,Almborn,,55.816667,13.483333,Already in GBIF,,,Drop
Punctelia,borreri,Deutschland,Nordrhein-Westfalen,Münster,,,,,,,Lahm,,51.961114,7.624239,,,,Keep
Punctelia,borreri,Deutschland,Nordrhein-Westfalen,Kirchhellen,,,,,8.1861,1861,Lahm,,51.604682,6.923225,,,,Keep
Punctelia,jeckeri,Czech Republic,Bohemia,České Skalice,,,,,1926,1926,Kutak,,50.394014,16.049184,,,,Keep
Punctelia,jeckeri,Deutschland,Bayern,Garmisch,,,,,8.1904,1904,Arnold,,47.5,11.083333,,,,Keep
Punctelia,jeckeri,Deutschland,Hessen,Eberstadt,,,,,3.5.1955,1955,O. Behr,,50.479917,8.760192,,,,Keep
Punctelia,jeckeri,Deutschland,Hessen,Bad König,,,,,17.4.1952,1952,O. Behr,,49.743197,9.0075,,,,Keep
Punctelia,jeckeri,Deutschland,Baden-Württemberg,Stuttgart,,,,,29.3.1947,1947,Putzker,,48.782343,9.180819,,,,Keep
Punctelia,jeckeri,Deutschland,Baden-Württemberg,"Remstal, Stetten",,,,,9.2.1947,1947,Peckler,,,,"Stetten im Remstall, which is near Kernen, OR Stetten which is further south and on Lake Constance??",,,Drop
Punctelia,jeckeri,Deutschland,Baden-Württemberg,"Lörrach, Tumringen",,,,,14.6.1912,1912,G. Lettau,,47.626623,7.654353,,,,Keep
Punctelia,subrudecta,Polen,Bieszcady Zachodnie,Wołosatym,,,,,20.9.1958,1958,K. Glanc,,49.19664,22.681819,"Already in GBIF, (BUT, lat long here is better than that in GBIF (no locality given))",,,Drop
Punctelia,subrudecta,Polen,Bieszcady Zachodnie,Wetlina,,,,,18.5.1956,1956,K. Glanc,,49.143052,22.482009,"Already in GBIF, (BUT, lat long here is better than that in GBIF (no locality given))",,,Drop
Punctelia,subrudecta,Deutschland,Brandenburg,Pritzwalk,,,,,12.1893,1893,Jaap,,53.149468,12.174718,,,,Keep
Punctelia,subrudecta,Deutschland,Hessen,Bad König,,,,,17.4.1952,1952,O. Behr,,49.743197,9.0075,,,,Keep
Punctelia,subrudecta,Deutschland,Baden-Württemberg,Heidelberg,,,,,,,von Zwackh,,49.404123,8.683733,,,,Keep
Punctelia,subrudecta,Deutschland,Hessen,Steinbuch,,,,,28.11.1948,1948,O. Behr,,49.683022,8.95375,,,,Keep
Thelotrema,lepadinum,Polen,Western Beskids,near Soblówka,,,,,9.6.1972,1972,J. Nowak,,49.433333,19.133333,"Could not find with GeoLocate, so found on Wikipedia with Lat Long",,,Keep
Thelotrema,lepadinum,Polen,Bieszczady Zachodnie,Pszczeliny,,,,,22.6.1957,1957,K. Glanc,,49.165633,22.689935,Already in GBIF,,,Drop
Thelotrema,lepadinum,Sweden,Småland,Jungfrun,,,,,9.6.1914,1914,Du Rietz,,57.266667,16.783056,Already in GBIF,,,Drop
Thelotrema,lepadinum,Schweden,Östergötland,Omberg,,,,,16.6.1915,1915,Malme,,58.333333,14.65,Already in GBIF,,,Drop
Thelotrema,lepadinum,Deutschland,Sachsen,Sächsische Schweiz,,,,,,,Rabenhorst,,50.9,14.283333,,,,Keep
Thelotrema,lepadinum,Polen,Schlesien,Riesengebirge,,,,,8.1882,1882,?,,50.767222,15.622222,Riesengebirge is German name for Karkonosze,,,Keep
