Barcode,type,Gen,Spec,Artname,Determinator,Year of determination,Collector(s),Vornummer,Collection number,Collection number add,Datum,Collecting year,decimalLatitude,decimalLongitude,MPN_Notes,Status,Loc (+ Hab),Habitat,Notes,Running nr,family,altebestimmungen,Country,Originaltext,Otherspecies,Exsiccate name,Exsiccate number,MTB,MTB-QU,MTB-RAST_UN,GRA-UN,LG,OW,BG,NS,LM,BM,edatum,Ablage Fungi,Etinummer,Higher Taxa,Exs abc,Exsiccate name long,Hoehe,Genus,Species,SpeciesAuthorteam,SpeciesBasionymAuthorteam,Rank,InfraEpi,BasionymAuthorteam,Authorteam,RefYear,Qualifier,QualifierRank,ParseName,BestNotes,Anmerkungen,TypusFk,SpecimenFamilie,HöTax,Fundort,DetermFk
B 60 0148896,,Bacidina,neosquamulosa,Bacidina neosquamulosa,H. Sipman,2007,"H. Sipman, A. Aptroot & D. Heinrich",,55026,,24-Mar,2007,53.087897,13.756952,,Keep,"GERMANY, Brandenburg: Landkr. Uckermark. Ca. 1 km W of Neu Temmen, towards Temmen. Alt. 70 m.",Juglans alley through fields; in swampy area with Salix.,,99018,,,GERMANY,,,,,2948,2,,,13,E,53,N,"46,13","05,24",,,,,,,70 m,Bacidina,neosquamulosa,,,,,,,,,,Bacidina neosquamulosa,,,,LECANORACEAE,LICHENES,"Brandenburg: Landkr. Uckermark. Ca. 1 km W of Neu Temmen, towards Temmen.",2183
B 60 0184289,,Bacidina,neosquamulosa,Bacidina neosquamulosa,H. Sipman,2011,H. Sipman & L. Zedda,,59678,,12 Apr.,2011,52.445707,13.442736,,Keep,"GERMANY, Berlin: Britz, in front of Albert-Einstein-Schule, Parchimer Allee 109. Alt. c. 40 m.",On Malus? trunk in lawn.,,136844,,,GERMANY,,Phaeophyscia nigricans,,,,,,,13,E,52,N,"26,5","26,7",,,0,,,,c. 40 m,Bacidinia,neosquamulosa,,,,,,,,,,Bacidinia neosquamulosa,,,,,,"Berlin: Britz, in front of Albert-Einstein-Schule, Parchimer Allee 109.",2183
B 60 0194788,,Bacidina,neosquamulosa,Bacidina neosquamulosa,H. Sipman,2015,H. Sipman and P. & B. van den Boom,,61445,,10-May,2015,52.461601,13.358623,Natur-Park Schöneberger Südgelände,Keep,"GERMANY, Land Berlin, Schöneberg: Naturpark Südbahnhofgelände. Alt. c. 50 m.","Abandoned rail yard with young, spontaneous forest and clearings. On Robinia young trunk at clearing.",,193275,,,GERMANY,,,,,,,,,13,E,52,N,"21,5","27,6",,,0,,,,,,,,,,,,,,,0,,,,,,,,0
B 60 0024785,,Bactrospora,dryina,Bactrospora dryina (Ach.) A. Massal.,Egea & Torrente,1992,O. Behr,,9097,a,10. Juli,1955,49.930299,9.397062,"used Metzgergraben und Krone, which is near Weibersbrunn",Keep,"DEUTSCHLAND, Bayern: Spessart, Weibersbrunn, Metzger. Alt. 300 m.","Feuchter Laubwald, alte Quercus.",,178234,,"Lecanactis dryina Lettau, det. O. Behr",GERMANY,,,,,,,,,,,,,,,,,0,,,,300 m,Bactrospora,dryina,,,,,,,,,,Bactrospora dryina (Ach.) A. Massal.,,,,ROCCELLACEAE,LICHENES,"Bayern: Spessart, Weibersbrunn, Metzger.",
B 60 0099335,,Bactrospora,dryina,Bactrospora dryina A. Massal.,,,Auerswald,,,,c. 1860?,,,,,Drop,"(DEUTSCHLAND, Sachsen:) Leipzig, an alten Eichen.",,"ex BHU, ex Herb. Mus. Palaeont. Berol.",2900,,,GERMANY,,,,,,,,,,,,,,,,,,,,,,Bactrospora,dryina,,,,,,,,,,Bactrospora dryina A. Massal.,,,,ROCCELLACEAE,LICHENES,"(DEUTSCHLAND, Sachsen:) Leipzig, an alten Eichen.",
,,Collema,fasciculare,Collema fasciculare Ach.,,,Auerswald,,,,Juni,1843,51.2,11.966667,,Keep,"(DEUTSCHLAND, Thüringen:) Weissenfels in Thüringen, an einer Schwarzpappel.",,,3022,,,GERMANY,,,,,,,,,,,,,,,,,,,,,,Collema,fasciculare,,,,,,,,,,Collema fasciculare Ach.,,,,COLLEMATACEAE,LICHENES,"(DEUTSCHLAND, Thüringen:) Weissenfels in Thüringen, an einer Schwarzpappel.",
,,Collema,fasciculare,Collema fasciculare (L.) Web.,,,C. F. E. Erichsen in herb. V. J. Grummann,,1279,,4 Aug.,1918,47.8225,7.833066,,Keep,"DEUTSCHLAND, Baden-Württemberg: Schwarzwald, am Belchen.",Weissbuchen.,,118795,,,GERMANY,,,,,,,,,,,,,,,,,,,,,,Collema,fasciculare,,,,,,,,,,Collema fasciculare (L.) Web.,,,,COLLEMATACEAE,LICHENES,"Baden-Württemberg: Schwarzwald, am Belchen.",
,,Collema,fasciculare,Collema fasciculare,,,J. Poelt,,,,01 Sep.,1956,47.483333,10.516667,now Austria,Keep,"GERMANY, Bayern (= Bavaria): Allgäuer Alpen, Tirol; above the Visalpsee Lake near Tannheim.",,,139149,,,GERMANY,,,Lichenes Alpium,6,,,,,,,,,,,,,0,,,,,Collema,fasciculare,,,,,,,,,,Collema fasciculare,,,,COLLEMATACEAE,LICHENES,"GERMANY, Bayern (= Bavaria): Allgäuer Alpen, Tirol; above the Visalpsee Lake near Tannheim.",
B 60 0143969,,Coniocarpon,cinnabarinum,Arthonia cinnabarina (DC.) Wallr.,,,G. Lettau,,,,,1910,47.616288,7.664842,,Keep,"DEUTSCHLAND, Baden-Württemberg: Lörrach.",,ex Follmann/? # 21004,107137,,,GERMANY,,,,,,,,,,,,,,,,,,,,,,Arthonia,cinnabarina,,,,,,,,,,Arthonia cinnabarina (DC.) Wallr.,,,,ARTHONIACEAE,LICHENES,Baden-Württemberg: Lörrach.,
B 60 0034956,,Degelia,plumbea,Degelia plumbea,,,,,,,,,,,,Drop,Ex empto herbario D. Wüstnei in Schwerin.,Aus Flörke's Herbarium.,,191532,,Parmelia plumbea Ach.,GERMANY,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,0
B 60 0141335,,Diploicia,canescens,Diploicia canescens,,,Th. Müller,,540,,16. Aug.,1959,50.735849,6.826539,put on Erft river in Vernich (Grossvernich),Keep,"DEUTSCHLAND, Nordrhein-Westfalen: Kr. Euskirchen, Vernich, Kopfweide, Erftufer. Alt. 120 m ü. M.",,,97396,,Buellia canescens (Dicks.) De Not.,GERMANY,,,,,,,,,,,,,,,,,,,,,120 m ü. M,Diploicia,canescens,,,,,,,,,,Diploicia canescens,,,,PHYSCIACEAE,LICHENES,"Nordrhein-Westfalen: Kr. Euskirchen, Vernich, Kopfweide, Erftufer.",
